"",BBK01.OEHB02Q,BBK01.OEHB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:45,
2002-01,3.544,
2002-04,3.561,
2002-07,3.422,
2002-10,3.389,
2003-01,3.414,
2003-04,3.403,
2003-07,3.555,
2003-10,3.204,
2004-01,3.138,
2004-04,3.101,
2004-07,2.994,
2004-10,2.844,
2005-01,2.979,
2005-04,3.045,
2005-07,2.986,
2005-10,2.794,
2006-01,2.911,
2006-04,2.943,
2006-07,2.766,
2006-10,2.648,
2007-01,2.642,
2007-04,2.616,
2007-07,2.582,
2007-10,2.658,
2008-01,2.759,
2008-04,2.780,
2008-07,2.736,
2008-10,2.781,
2009-01,2.822,
2009-04,2.891,
2009-07,2.849,
2009-10,2.701,
2010-01,2.718,
2010-04,2.790,
2010-07,2.567,
2010-10,2.349,
2011-01,2.332,
2011-04,2.392,
2011-07,2.251,
2011-10,2.130,
2012-01,2.188,
2012-04,2.185,
2012-07,2.126,
2012-10,2.139,
2013-01,2.247,
2013-04,2.231,
2013-07,2.219,
2013-10,2.114,
2014-01,2.196,
2014-04,2.177,
2014-07,2.185,
