"",BBK01.OEAL04V,BBK01.OEAL04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:19,
2002-01,1.905,
2002-04,1.768,
2002-07,1.735,
2002-10,1.751,
2003-01,1.729,
2003-04,1.594,
2003-07,1.535,
2003-10,1.452,
2004-01,1.379,
2004-04,1.318,
2004-07,1.231,
2004-10,1.181,
2005-01,1.306,
2005-04,1.284,
2005-07,1.231,
2005-10,1.260,
2006-01,1.262,
2006-04,1.280,
2006-07,1.300,
2006-10,1.352,
2007-01,1.410,
2007-04,1.498,
2007-07,1.545,
2007-10,1.739,
2008-01,1.900,
2008-04,2.048,
2008-07,2.134,
2008-10,2.355,
2009-01,2.093,
2009-04,1.765,
2009-07,1.402,
2009-10,1.261,
2010-01,0.997,
2010-04,0.980,
2010-07,0.864,
2010-10,0.785,
2011-01,0.748,
2011-04,0.756,
2011-07,0.763,
2011-10,0.888,
2012-01,0.900,
2012-04,0.864,
2012-07,0.778,
2012-10,0.688,
2013-01,0.634,
2013-04,0.594,
2013-07,0.556,
2013-10,0.571,
2014-01,0.528,
2014-04,0.512,
2014-07,0.502,
