"",BBK01.OEAA33G,BBK01.OEAA33G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:33,
2002-01,190.363,
2002-04,192.834,
2002-07,194.704,
2002-10,196.621,
2003-01,196.659,
2003-04,198.041,
2003-07,200.388,
2003-10,202.242,
2004-01,201.994,
2004-04,203.999,
2004-07,208.689,
2004-10,209.946,
2005-01,187.096,
2005-04,187.635,
2005-07,188.680,
2005-10,189.075,
2006-01,186.795,
2006-04,186.996,
2006-07,187.718,
2006-10,186.945,
2007-01,185.760,
2007-04,185.613,
2007-07,185.914,
2007-10,185.754,
2008-01,184.911,
2008-04,185.821,
2008-07,186.400,
2008-10,187.132,
2009-01,186.703,
2009-04,189.274,
2009-07,190.678,
2009-10,191.059,
2010-01,191.010,
2010-04,192.052,
2010-07,193.440,
2010-10,193.264,
2011-01,194.734,
2011-04,195.970,
2011-07,197.397,
2011-10,198.264,
2012-01,198.080,
2012-04,199.389,
2012-07,200.680,
2012-10,201.669,
2013-01,201.383,
2013-04,202.089,
2013-07,203.824,
2013-10,204.633,
2014-01,204.762,
2014-04,206.162,
2014-07,207.674,
