"",BBK01.OEBK03M,BBK01.OEBK03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:05,
2002-01,0.807,
2002-04,0.793,
2002-07,0.779,
2002-10,0.794,
2003-01,0.752,
2003-04,0.708,
2003-07,0.681,
2003-10,0.580,
2004-01,0.668,
2004-04,0.585,
2004-07,0.581,
2004-10,0.544,
2005-01,0.595,
2005-04,0.531,
2005-07,0.501,
2005-10,0.489,
2006-01,0.581,
2006-04,0.608,
2006-07,0.707,
2006-10,0.741,
2007-01,0.789,
2007-04,0.877,
2007-07,0.982,
2007-10,1.111,
2008-01,1.257,
2008-04,1.242,
2008-07,1.367,
2008-10,1.397,
2009-01,1.137,
2009-04,1.010,
2009-07,0.804,
2009-10,0.565,
2010-01,0.385,
2010-04,0.276,
2010-07,0.233,
2010-10,0.335,
2011-01,0.263,
2011-04,0.300,
2011-07,0.324,
2011-10,0.332,
2012-01,0.353,
2012-04,0.294,
2012-07,0.302,
2012-10,0.227,
2013-01,0.195,
2013-04,0.178,
2013-07,0.189,
2013-10,0.172,
2014-01,0.134,
2014-04,0.135,
2014-07,0.149,
