"",BBK01.OEBI05K,BBK01.OEBI05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:39,
2002-01,2.216,
2002-04,2.269,
2002-07,2.303,
2002-10,2.274,
2003-01,2.287,
2003-04,2.311,
2003-07,2.359,
2003-10,2.655,
2004-01,2.431,
2004-04,2.463,
2004-07,2.354,
2004-10,2.345,
2005-01,1.443,
2005-04,1.404,
2005-07,1.329,
2005-10,1.304,
2006-01,1.229,
2006-04,1.534,
2006-07,1.555,
2006-10,1.572,
2007-01,1.570,
2007-04,1.685,
2007-07,1.865,
2007-10,1.750,
2008-01,1.864,
2008-04,2.030,
2008-07,2.063,
2008-10,2.213,
2009-01,1.985,
2009-04,2.136,
2009-07,1.963,
2009-10,2.035,
2010-01,2.116,
2010-04,2.141,
2010-07,2.524,
2010-10,2.581,
2011-01,2.556,
2011-04,2.462,
2011-07,2.151,
2011-10,2.158,
2012-01,2.200,
2012-04,2.454,
2012-07,2.441,
2012-10,2.367,
2013-01,2.339,
2013-04,2.298,
2013-07,2.306,
2013-10,2.310,
2014-01,2.259,
2014-04,2.309,
2014-07,2.250,
