"",BBK01.OEAJ09L,BBK01.OEAJ09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:51,
2002-01,0.060,
2002-04,0.046,
2002-07,0.045,
2002-10,0.040,
2003-01,0.043,
2003-04,0.060,
2003-07,0.057,
2003-10,0.059,
2004-01,0.067,
2004-04,0.070,
2004-07,0.069,
2004-10,0.084,
2005-01,0.084,
2005-04,0.063,
2005-07,0.074,
2005-10,0.067,
2006-01,0.063,
2006-04,0.073,
2006-07,0.080,
2006-10,0.074,
2007-01,0.076,
2007-04,0.081,
2007-07,0.067,
2007-10,0.062,
2008-01,0.047,
2008-04,0.045,
2008-07,0.049,
2008-10,0.060,
2009-01,0.076,
2009-04,0.101,
2009-07,0.120,
2009-10,0.127,
2010-01,0.140,
2010-04,0.122,
2010-07,0.100,
2010-10,0.080,
2011-01,0.070,
2011-04,0.068,
2011-07,0.064,
2011-10,0.050,
2012-01,0.051,
2012-04,0.045,
2012-07,0.048,
2012-10,0.049,
2013-01,0.051,
2013-04,0.049,
2013-07,0.048,
2013-10,0.043,
2014-01,0.043,
2014-04,0.048,
2014-07,0.052,
