"",BBK01.OEAA08R,BBK01.OEAA08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:35,
2002-01,0.290,
2002-04,0.289,
2002-07,0.295,
2002-10,0.274,
2003-01,0.277,
2003-04,0.272,
2003-07,0.279,
2003-10,0.272,
2004-01,0.271,
2004-04,0.285,
2004-07,0.276,
2004-10,2.706,
2005-01,2.869,
2005-04,2.875,
2005-07,2.867,
2005-10,2.869,
2006-01,2.832,
2006-04,2.872,
2006-07,2.878,
2006-10,2.923,
2007-01,2.896,
2007-04,2.880,
2007-07,2.861,
2007-10,2.844,
2008-01,25.921,
2008-04,2.825,
2008-07,2.773,
2008-10,2.823,
2009-01,2.763,
2009-04,2.738,
2009-07,2.717,
2009-10,2.709,
2010-01,2.711,
2010-04,2.711,
2010-07,2.682,
2010-10,2.654,
2011-01,2.626,
2011-04,2.612,
2011-07,2.580,
2011-10,2.569,
2012-01,2.528,
2012-04,2.549,
2012-07,2.535,
2012-10,2.514,
2013-01,2.461,
2013-04,2.442,
2013-07,2.386,
2013-10,2.372,
2014-01,2.319,
2014-04,2.282,
2014-07,2.229,
