"",BBK01.OEBB20S,BBK01.OEBB20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:47,
2002-01,1.951,
2002-04,1.972,
2002-07,1.997,
2002-10,2.006,
2003-01,2.021,
2003-04,2.048,
2003-07,2.086,
2003-10,2.115,
2004-01,2.104,
2004-04,2.106,
2004-07,2.130,
2004-10,2.141,
2005-01,3.088,
2005-04,3.164,
2005-07,3.202,
2005-10,3.196,
2006-01,3.246,
2006-04,3.311,
2006-07,3.389,
2006-10,3.490,
2007-01,3.523,
2007-04,3.705,
2007-07,3.726,
2007-10,3.770,
2008-01,3.745,
2008-04,3.727,
2008-07,3.813,
2008-10,3.836,
2009-01,3.846,
2009-04,4.378,
2009-07,4.450,
2009-10,4.472,
2010-01,4.490,
2010-04,4.514,
2010-07,4.532,
2010-10,4.448,
2011-01,4.585,
2011-04,4.590,
2011-07,4.601,
2011-10,4.642,
2012-01,4.665,
2012-04,4.697,
2012-07,4.732,
2012-10,4.745,
2013-01,4.792,
2013-04,4.835,
2013-07,4.884,
2013-10,4.937,
2014-01,4.966,
2014-04,5.046,
2014-07,5.106,
