"",BBK01.OELM03L,BBK01.OELM03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:39,
2002-01,0.201,
2002-04,0.219,
2002-07,0.213,
2002-10,0.237,
2003-01,0.174,
2003-04,0.173,
2003-07,0.200,
2003-10,0.241,
2004-01,0.199,
2004-04,0.234,
2004-07,0.215,
2004-10,0.307,
2005-01,0.244,
2005-04,0.307,
2005-07,0.288,
2005-10,0.411,
2006-01,0.242,
2006-04,0.298,
2006-07,0.315,
2006-10,0.567,
2007-01,0.334,
2007-04,0.350,
2007-07,0.399,
2007-10,0.593,
2008-01,0.274,
2008-04,0.320,
2008-07,0.312,
2008-10,0.389,
2009-01,0.408,
2009-04,0.355,
2009-07,0.372,
2009-10,0.440,
2010-01,0.357,
2010-04,0.383,
2010-07,0.459,
2010-10,0.516,
2011-01,0.498,
2011-04,0.524,
2011-07,0.545,
2011-10,0.635,
2012-01,0.506,
2012-04,0.444,
2012-07,0.445,
2012-10,0.426,
2013-01,0.443,
2013-04,0.517,
2013-07,0.575,
2013-10,0.547,
2014-01,0.524,
2014-04,0.471,
2014-07,0.486,
