"",BBK01.OELO03H,BBK01.OELO03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:55,
2002-01,7.514,
2002-04,5.459,
2002-07,4.956,
2002-10,5.185,
2003-01,5.887,
2003-04,4.384,
2003-07,4.173,
2003-10,4.633,
2004-01,5.064,
2004-04,3.935,
2004-07,4.014,
2004-10,5.318,
2005-01,4.938,
2005-04,4.159,
2005-07,3.795,
2005-10,4.489,
2006-01,4.863,
2006-04,4.540,
2006-07,4.730,
2006-10,5.675,
2007-01,6.170,
2007-04,5.173,
2007-07,5.045,
2007-10,5.527,
2008-01,5.990,
2008-04,4.849,
2008-07,5.131,
2008-10,5.422,
2009-01,5.229,
2009-04,4.325,
2009-07,4.414,
2009-10,4.632,
2010-01,4.446,
2010-04,3.737,
2010-07,3.559,
2010-10,4.112,
2011-01,4.050,
2011-04,4.002,
2011-07,3.986,
2011-10,3.865,
2012-01,3.895,
2012-04,3.571,
2012-07,3.792,
2012-10,3.844,
2013-01,4.176,
2013-04,3.608,
2013-07,3.411,
2013-10,3.608,
2014-01,4.015,
2014-04,3.545,
2014-07,3.567,
