"",BBK01.OEAE08H,BBK01.OEAE08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:05,
2002-01,5.684,
2002-04,5.786,
2002-07,5.638,
2002-10,5.813,
2003-01,5.835,
2003-04,5.994,
2003-07,5.633,
2003-10,6.549,
2004-01,6.326,
2004-04,6.254,
2004-07,6.064,
2004-10,6.111,
2005-01,6.124,
2005-04,6.354,
2005-07,6.386,
2005-10,6.283,
2006-01,6.279,
2006-04,6.172,
2006-07,6.176,
2006-10,6.067,
2007-01,5.540,
2007-04,5.649,
2007-07,5.579,
2007-10,5.391,
2008-01,5.014,
2008-04,5.001,
2008-07,4.080,
2008-10,4.311,
2009-01,4.248,
2009-04,3.977,
2009-07,3.490,
2009-10,3.320,
2010-01,2.739,
2010-04,2.708,
2010-07,2.003,
2010-10,1.944,
2011-01,1.855,
2011-04,1.877,
2011-07,1.974,
2011-10,2.131,
2012-01,1.868,
2012-04,1.767,
2012-07,1.810,
2012-10,1.714,
2013-01,1.592,
2013-04,1.617,
2013-07,1.726,
2013-10,1.653,
2014-01,1.656,
2014-04,1.755,
2014-07,1.735,
