"",BBFN1.M.DE.N.1.L.ES.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,.,No value available
1988-11,0.004,
1988-12,-,Nothing exists
1989-01,0.001,
1989-02,-,Nothing exists
1989-03,0.002,
1989-04,0.001,
1989-05,0.003,
1989-06,0.001,
1989-07,0.003,
1989-08,0.033,
1989-09,0.003,
1989-10,0.002,
1989-11,0.002,
1989-12,.,No value available
1990-01,.,"No value available, comment"
1990-02,.,No value available
1990-03,.,No value available
1990-04,0.019,
1990-05,0.012,
1990-06,0.012,
1990-07,0.012,
1990-08,0.012,
1990-09,0.012,
1990-10,0.012,
1990-11,0.011,
1990-12,.,No value available
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,.,No value available
1991-08,0.001,
1991-09,.,No value available
1991-10,.,No value available
1991-11,0.021,
1991-12,0.016,
1992-01,0.004,
1992-02,0.018,
1992-03,0.002,
1992-04,0.017,
1992-05,0.002,
1992-06,0.014,
1992-07,0.020,
1992-08,0.004,
1992-09,0.003,
1992-10,0.004,
1992-11,0.001,
1992-12,0.001,
1993-01,0.003,
1993-02,.,No value available
1993-03,0.004,
1993-04,0.004,
1993-05,0.010,
1993-06,0.004,
1993-07,0.005,
1993-08,0.001,
1993-09,0.002,
1993-10,0.002,
1993-11,0.002,
1993-12,0.002,
1994-01,0.002,
1994-02,0.007,
1994-03,0.002,
1994-04,0.001,
1994-05,0.002,
1994-06,0.002,
1994-07,0.003,
1994-08,0.003,
1994-09,0.003,
1994-10,0.009,
1994-11,.,No value available
1994-12,.,No value available
1995-01,0.004,
1995-02,0.003,
1995-03,0.003,
1995-04,0.007,
1995-05,.,No value available
1995-06,0.004,
1995-07,0.004,
1995-08,0.006,
1995-09,0.002,
1995-10,0.002,
1995-11,0.010,
1995-12,.,No value available
1996-01,0.007,
1996-02,0.031,
1996-03,0.026,
1996-04,0.013,
1996-05,0.024,
1996-06,0.006,
1996-07,0.004,
1996-08,0.005,
1996-09,0.053,
1996-10,0.027,
1996-11,0.028,
1996-12,0.027,
1997-01,0.050,
1997-02,0.017,
1997-03,0.008,
1997-04,0.006,
1997-05,0.018,
1997-06,0.045,
1997-07,0.014,
1997-08,0.020,
1997-09,0.017,
1997-10,0.016,
1997-11,0.014,
1997-12,0.070,
1998-01,0.098,
1998-02,0.115,
1998-03,0.037,
1998-04,0.058,
1998-05,0.085,
1998-06,0.058,
1998-07,0.139,
1998-08,0.111,
1998-09,0.432,
1998-10,0.115,
1998-11,0.076,
1998-12,0.056,
1999-01,0.052,
1999-02,0.077,
1999-03,0.056,
1999-04,0.058,
1999-05,0.044,
1999-06,0.064,
1999-07,0.098,
1999-08,0.069,
1999-09,0.066,
1999-10,0.071,
1999-11,0.049,
1999-12,0.095,
2000-01,0.102,
2000-02,0.052,
2000-03,0.057,
2000-04,0.052,
2000-05,0.048,
2000-06,0.050,
2000-07,0.047,
2000-08,0.046,
2000-09,0.040,
2000-10,.,No value available
2000-11,0.041,
2000-12,0.046,
2001-01,0.043,
2001-02,0.043,
2001-03,0.042,
2001-04,0.042,
2001-05,0.046,
2001-06,0.046,
2001-07,0.059,
2001-08,0.043,
2001-09,0.040,
2001-10,0.055,
2001-11,0.067,
2001-12,0.041,
2002-01,0.078,
2002-02,0.040,
2002-03,0.047,
2002-04,0.066,
2002-05,0.418,
2002-06,0.061,
2002-07,0.100,
2002-08,0.055,
2002-09,0.078,
2002-10,0.035,
2002-11,.,No value available
2002-12,.,No value available
2003-01,0.041,
2003-02,0.040,
2003-03,0.030,
2003-04,0.033,
2003-05,0.031,
2003-06,0.039,
2003-07,0.030,
2003-08,0.030,
2003-09,0.062,
2003-10,0.032,
2003-11,0.045,
2003-12,0.045,
2004-01,0.062,
2004-02,0.053,
2004-03,0.047,
2004-04,0.047,
2004-05,0.050,
2004-06,0.067,
2004-07,0.067,
2004-08,0.076,
2004-09,0.063,
2004-10,0.063,
2004-11,0.086,
2004-12,0.060,
2005-01,0.061,
2005-02,0.034,
2005-03,0.031,
2005-04,0.058,
2005-05,0.028,
2005-06,0.034,
2005-07,0.031,
2005-08,0.030,
2005-09,0.030,
2005-10,0.032,
2005-11,0.041,
2005-12,0.033,
2006-01,0.033,
2006-02,0.043,
2006-03,0.031,
2006-04,0.053,
2006-05,0.058,
2006-06,0.035,
2006-07,0.333,
2006-08,0.333,
2006-09,0.334,
2006-10,0.036,
2006-11,0.083,
2006-12,0.036,
2007-01,0.035,
2007-02,0.034,
2007-03,0.035,
2007-04,0.035,
2007-05,0.037,
2007-06,0.043,
2007-07,0.055,
2007-08,0.081,
2007-09,0.109,
2007-10,0.102,
2007-11,0.088,
2007-12,0.099,
2008-01,0.059,
2008-02,0.047,
2008-03,0.066,
2008-04,.,No value available
2008-05,0.094,
2008-06,0.075,
2008-07,0.061,
2008-08,0.061,
2008-09,0.193,
2008-10,0.610,
2008-11,0.809,
2008-12,0.778,
2009-01,1.973,
2009-02,0.708,
2009-03,0.990,
2009-04,0.887,
2009-05,0.920,
2009-06,0.677,
2009-07,0.674,
2009-08,0.672,
2009-09,0.698,
2009-10,0.793,
2009-11,0.869,
2009-12,0.673,
2010-01,0.830,
2010-02,0.828,
2010-03,0.179,
2010-04,0.663,
2010-05,0.853,
2010-06,0.697,
2010-07,0.699,
2010-08,0.707,
2010-09,0.704,
2010-10,0.701,
2010-11,0.705,
2010-12,0.745,
2011-01,2.572,
2011-02,1.659,
2011-03,0.683,
2011-04,1.110,
2011-05,1.389,
2011-06,0.831,
2011-07,0.875,
2011-08,1.149,
2011-09,2.422,
2011-10,3.109,
2011-11,3.437,
2011-12,0.765,
2012-01,2.564,
2012-02,3.103,
2012-03,2.928,
2012-04,1.945,
2012-05,1.860,
2012-06,7.217,
2012-07,2.210,
2012-08,0.983,
2012-09,0.849,
2012-10,0.803,
2012-11,0.797,
2012-12,0.910,
2013-01,4.934,
2013-02,3.678,
2013-03,3.981,
2013-04,3.911,
2013-05,4.157,
2013-06,4.604,
2013-07,2.926,
2013-08,1.413,
2013-09,2.693,
2013-10,1.283,
2013-11,1.713,
2013-12,2.124,
2014-01,1.035,
2014-02,1.299,
2014-03,1.710,
2014-04,2.286,
2014-05,2.514,
2014-06,1.601,
2014-07,4.716,
2014-08,1.627,
2014-09,2.192,
2014-10,2.834,
2014-11,3.655,
2014-12,0.897,
