"",BBK01.OEYK02T,BBK01.OEYK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:57,
2002-01,0.020,
2002-04,0.022,
2002-07,0.021,
2002-10,0.022,
2003-01,0.024,
2003-04,0.024,
2003-07,0.024,
2003-10,0.024,
2004-01,0.024,
2004-04,0.024,
2004-07,0.023,
2004-10,0.025,
2005-01,0.026,
2005-04,0.025,
2005-07,0.059,
2005-10,0.062,
2006-01,0.063,
2006-04,0.065,
2006-07,0.070,
2006-10,0.071,
2007-01,0.071,
2007-04,0.079,
2007-07,0.088,
2007-10,0.093,
2008-01,0.096,
2008-04,0.095,
2008-07,0.099,
2008-10,0.106,
2009-01,0.104,
2009-04,0.109,
2009-07,0.112,
2009-10,0.117,
2010-01,0.111,
2010-04,0.126,
2010-07,0.127,
2010-10,0.130,
2011-01,0.113,
2011-04,0.118,
2011-07,0.140,
2011-10,0.141,
2012-01,0.140,
2012-04,0.147,
2012-07,0.156,
2012-10,0.162,
2013-01,0.163,
2013-04,0.164,
2013-07,0.150,
2013-10,0.148,
2014-01,0.158,
2014-04,0.153,
2014-07,0.157,
