"",BBFN1.M.DE.N.1.A.MX.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:34,
1994-12,0.927,
1995-01,0.985,
1995-02,0.952,
1995-03,0.963,
1995-04,1.007,
1995-05,1.004,
1995-06,0.955,
1995-07,0.937,
1995-08,0.962,
1995-09,0.922,
1995-10,0.917,
1995-11,0.934,
1995-12,0.897,
1996-01,0.882,
1996-02,0.888,
1996-03,0.905,
1996-04,0.947,
1996-05,0.938,
1996-06,0.907,
1996-07,0.943,
1996-08,0.985,
1996-09,0.968,
1996-10,0.982,
1996-11,0.959,
1996-12,0.982,
1997-01,0.975,
1997-02,1.032,
1997-03,1.061,
1997-04,1.100,
1997-05,1.197,
1997-06,1.193,
1997-07,1.261,
1997-08,1.361,
1997-09,1.358,
1997-10,1.397,
1997-11,1.422,
1997-12,1.530,
1998-01,1.465,
1998-02,1.508,
1998-03,1.543,
1998-04,1.589,
1998-05,1.664,
1998-06,1.640,
1998-07,1.641,
1998-08,1.659,
1998-09,1.718,
1998-10,1.724,
1998-11,1.736,
1998-12,1.925,
1999-01,1.792,
1999-02,1.800,
1999-03,1.723,
1999-04,1.688,
1999-05,1.690,
1999-06,1.641,
1999-07,1.747,
1999-08,1.724,
1999-09,1.751,
1999-10,1.855,
1999-11,1.863,
1999-12,1.918,
2000-01,1.920,
2000-02,1.863,
2000-03,1.748,
2000-04,1.723,
2000-05,1.811,
2000-06,1.827,
2000-07,1.933,
2000-08,1.868,
2000-09,1.900,
2000-10,2.042,
2000-11,2.094,
2000-12,2.266,
2001-01,2.210,
2001-02,2.254,
2001-03,2.372,
2001-04,2.418,
2001-05,2.311,
2001-06,2.467,
2001-07,2.381,
2001-08,2.252,
2001-09,2.271,
2001-10,2.283,
2001-11,2.312,
2001-12,2.181,
2002-01,2.267,
2002-02,2.118,
2002-03,2.126,
2002-04,2.253,
2002-05,2.256,
2002-06,2.283,
2002-07,2.256,
2002-08,2.203,
2002-09,2.239,
2002-10,2.240,
2002-11,2.303,
2002-12,2.179,
2003-01,2.009,
2003-02,2.014,
2003-03,2.049,
2003-04,2.129,
2003-05,2.245,
2003-06,2.363,
2003-07,2.170,
2003-08,2.152,
2003-09,2.113,
2003-10,2.189,
2003-11,2.064,
2003-12,2.020,
2004-01,1.847,
2004-02,1.900,
2004-03,1.931,
2004-04,1.836,
2004-05,1.869,
2004-06,1.927,
2004-07,1.956,
2004-08,1.899,
2004-09,2.028,
2004-10,1.989,
2004-11,1.978,
2004-12,1.994,
2005-01,1.977,
2005-02,2.039,
2005-03,1.976,
2005-04,1.936,
2005-05,2.009,
2005-06,2.145,
2005-07,2.158,
2005-08,2.100,
2005-09,2.115,
2005-10,2.209,
2005-11,2.296,
2005-12,2.326,
2006-01,2.289,
2006-02,2.233,
2006-03,2.674,
2006-04,2.709,
2006-05,2.699,
2006-06,2.732,
2006-07,2.784,
2006-08,2.904,
2006-09,3.002,
2006-10,2.514,
2006-11,3.000,
2006-12,2.911,
2007-01,2.762,
2007-02,2.770,
2007-03,2.409,
2007-04,2.314,
2007-05,2.409,
2007-06,2.539,
2007-07,2.442,
2007-08,2.906,
2007-09,2.479,
2007-10,2.443,
2007-11,2.637,
2007-12,2.447,
2008-01,2.127,
2008-02,2.085,
2008-03,2.089,
2008-04,2.089,
2008-05,2.133,
2008-06,2.247,
2008-07,2.365,
2008-08,2.516,
2008-09,2.680,
2008-10,2.822,
2008-11,2.798,
2008-12,2.714,
2009-01,2.736,
2009-02,2.567,
2009-03,2.530,
2009-04,2.365,
2009-05,2.197,
2009-06,2.174,
2009-07,2.216,
2009-08,2.006,
2009-09,2.136,
2009-10,2.240,
2009-11,2.039,
2009-12,2.040,
2010-01,2.041,
2010-02,2.005,
2010-03,2.212,
2010-04,2.119,
2010-05,2.433,
2010-06,2.519,
2010-07,2.635,
2010-08,2.674,
2010-09,2.621,
2010-10,2.464,
2010-11,2.714,
2010-12,2.673,
2011-01,2.528,
2011-02,2.587,
2011-03,2.632,
2011-04,2.750,
2011-05,2.879,
2011-06,2.737,
2011-07,2.923,
2011-08,2.935,
2011-09,2.980,
2011-10,2.886,
2011-11,2.849,
2011-12,2.701,
2012-01,2.725,
2012-02,2.783,
2012-03,2.709,
2012-04,2.764,
2012-05,2.873,
2012-06,3.031,
2012-07,3.217,
2012-08,3.154,
2012-09,3.308,
2012-10,3.162,
2012-11,3.212,
2012-12,3.047,
2013-01,2.977,
2013-02,3.071,
2013-03,3.204,
2013-04,3.166,
2013-05,3.235,
2013-06,3.038,
2013-07,3.018,
2013-08,3.019,
2013-09,3.096,
2013-10,2.962,
2013-11,3.162,
2013-12,3.088,
2014-01,2.990,
2014-02,3.014,
2014-03,3.096,
2014-04,3.235,
2014-05,3.178,
2014-06,3.476,
2014-07,3.315,
2014-08,3.378,
2014-09,3.452,
2014-10,3.347,
2014-11,3.306,
2014-12,3.351,
