"",BBK01.OEAC20O,BBK01.OEAC20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:48,
2002-01,2.257,
2002-04,2.245,
2002-07,2.240,
2002-10,2.246,
2003-01,2.168,
2003-04,2.130,
2003-07,2.016,
2003-10,2.005,
2004-01,2.069,
2004-04,2.024,
2004-07,2.035,
2004-10,2.009,
2005-01,1.937,
2005-04,1.877,
2005-07,1.911,
2005-10,1.945,
2006-01,1.939,
2006-04,1.897,
2006-07,1.895,
2006-10,1.895,
2007-01,1.951,
2007-04,1.870,
2007-07,2.044,
2007-10,2.112,
2008-01,2.014,
2008-04,1.959,
2008-07,2.011,
2008-10,1.870,
2009-01,1.752,
2009-04,1.676,
2009-07,1.779,
2009-10,1.762,
2010-01,1.081,
2010-04,1.258,
2010-07,1.397,
2010-10,1.882,
2011-01,2.013,
2011-04,1.959,
2011-07,2.073,
2011-10,1.952,
2012-01,2.053,
2012-04,2.019,
2012-07,2.011,
2012-10,1.992,
2013-01,1.994,
2013-04,1.938,
2013-07,2.024,
2013-10,1.985,
2014-01,1.896,
2014-04,1.804,
2014-07,1.917,
