"",BBK01.OEAN01K,BBK01.OEAN01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:55,
2002-01,10.958,
2002-04,10.397,
2002-07,10.392,
2002-10,10.839,
2003-01,10.984,
2003-04,10.892,
2003-07,10.800,
2003-10,10.983,
2004-01,10.945,
2004-04,11.034,
2004-07,11.069,
2004-10,11.334,
2005-01,12.411,
2005-04,12.505,
2005-07,12.362,
2005-10,12.279,
2006-01,12.264,
2006-04,12.225,
2006-07,12.081,
2006-10,12.179,
2007-01,12.332,
2007-04,12.111,
2007-07,11.908,
2007-10,12.156,
2008-01,12.339,
2008-04,12.258,
2008-07,11.934,
2008-10,12.880,
2009-01,12.858,
2009-04,12.817,
2009-07,12.919,
2009-10,12.654,
2010-01,12.617,
2010-04,12.545,
2010-07,12.577,
2010-10,12.944,
2011-01,13.073,
2011-04,13.095,
2011-07,12.962,
2011-10,12.836,
2012-01,12.963,
2012-04,12.858,
2012-07,13.067,
2012-10,13.055,
2013-01,12.838,
2013-04,12.663,
2013-07,12.664,
2013-10,12.763,
2014-01,13.254,
2014-04,13.397,
2014-07,13.618,
