"",BBFB1.M.Y.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:08,
1991-01,4.17,
1991-02,4.08,
1991-03,4.26,
1991-04,4.29,
1991-05,4.44,
1991-06,4.42,
1991-07,4.43,
1991-08,4.64,
1991-09,4.46,
1991-10,4.31,
1991-11,4.31,
1991-12,4.62,
1992-01,4.22,
1992-02,4.51,
1992-03,4.34,
1992-04,4.41,
1992-05,4.25,
1992-06,4.61,
1992-07,4.19,
1992-08,4.37,
1992-09,4.40,
1992-10,4.59,
1992-11,4.36,
1992-12,4.50,
1993-01,4.25,
1993-02,4.33,
1993-03,4.48,
1993-04,4.40,
1993-05,4.22,
1993-06,4.44,
1993-07,4.54,
1993-08,4.26,
1993-09,4.70,
1993-10,4.37,
1993-11,4.50,
1993-12,4.33,
1994-01,4.84,
1994-02,4.28,
1994-03,4.60,
1994-04,4.31,
1994-05,4.28,
1994-06,4.47,
1994-07,4.31,
1994-08,4.40,
1994-09,4.78,
1994-10,4.31,
1994-11,4.39,
1994-12,4.34,
1995-01,4.90,
1995-02,4.76,
1995-03,4.73,
1995-04,4.21,
1995-05,4.74,
1995-06,4.68,
1995-07,4.88,
1995-08,4.71,
1995-09,4.76,
1995-10,4.99,
1995-11,4.91,
1995-12,4.90,
1996-01,4.89,
1996-02,4.84,
1996-03,4.67,
1996-04,4.90,
1996-05,4.88,
1996-06,4.93,
1996-07,4.80,
1996-08,5.13,
1996-09,5.03,
1996-10,5.06,
1996-11,5.12,
1996-12,5.53,
1997-01,5.57,
1997-02,5.53,
1997-03,5.61,
1997-04,5.38,
1997-05,6.05,
1997-06,5.88,
1997-07,6.17,
1997-08,6.16,
1997-09,5.88,
1997-10,6.27,
1997-11,6.01,
1997-12,5.93,
1998-01,6.29,
1998-02,6.03,
1998-03,6.81,
1998-04,5.96,
1998-05,6.31,
1998-06,6.34,
1998-07,6.45,
1998-08,6.36,
1998-09,6.52,
1998-10,5.81,
1998-11,5.74,
1998-12,6.52,
1999-01,5.99,
1999-02,6.00,
1999-03,6.29,
1999-04,6.36,
1999-05,6.50,
1999-06,6.46,
1999-07,6.70,
1999-08,6.72,
1999-09,6.86,
1999-10,6.88,
1999-11,6.89,
1999-12,6.48,
2000-01,7.02,
2000-02,7.32,
2000-03,7.36,
2000-04,7.41,
2000-05,7.22,
2000-06,7.67,
2000-07,7.55,
2000-08,6.83,
2000-09,8.11,
2000-10,7.48,
2000-11,7.89,
2000-12,8.24,
2001-01,7.30,
2001-02,7.86,
2001-03,7.62,
2001-04,7.49,
2001-05,7.94,
2001-06,8.05,
2001-07,7.95,
2001-08,7.63,
2001-09,8.03,
2001-10,8.83,
2001-11,8.40,
2001-12,8.61,
2002-01,8.83,
2002-02,8.53,
2002-03,8.73,
2002-04,9.18,
2002-05,8.32,
2002-06,8.88,
2002-07,8.87,
2002-08,9.26,
2002-09,9.28,
2002-10,9.26,
2002-11,9.29,
2002-12,9.55,
2003-01,8.58,
2003-02,8.12,
2003-03,8.65,
2003-04,9.17,
2003-05,8.03,
2003-06,8.58,
2003-07,8.64,
2003-08,8.50,
2003-09,8.52,
2003-10,8.73,
2003-11,9.03,
2003-12,9.22,
2004-01,9.07,
2004-02,9.58,
2004-03,9.78,
2004-04,9.79,
2004-05,10.00,
2004-06,9.86,
2004-07,9.63,
2004-08,9.92,
2004-09,10.37,
2004-10,9.95,
2004-11,10.16,
2004-12,10.11,
2005-01,11.06,
2005-02,10.05,
2005-03,10.22,
2005-04,10.35,
2005-05,10.18,
2005-06,10.38,
2005-07,10.88,
2005-08,10.79,
2005-09,10.80,
2005-10,10.94,
2005-11,10.96,
2005-12,11.20,
2006-01,11.29,
2006-02,11.50,
2006-03,11.32,
2006-04,11.66,
2006-05,11.75,
2006-06,12.76,
2006-07,12.08,
