"",BBK01.OEAB15Q,BBK01.OEAB15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:10,
2002-01,1.299,
2002-04,1.275,
2002-07,1.258,
2002-10,1.237,
2003-01,1.235,
2003-04,1.227,
2003-07,1.189,
2003-10,1.159,
2004-01,1.116,
2004-04,0.968,
2004-07,0.924,
2004-10,0.856,
2005-01,0.844,
2005-04,0.846,
2005-07,0.840,
2005-10,0.804,
2006-01,0.776,
2006-04,0.795,
2006-07,0.777,
2006-10,0.753,
2007-01,0.733,
2007-04,0.721,
2007-07,0.706,
2007-10,0.705,
2008-01,0.680,
2008-04,0.668,
2008-07,0.669,
2008-10,0.633,
2009-01,0.610,
2009-04,0.625,
2009-07,0.659,
2009-10,0.667,
2010-01,0.657,
2010-04,0.661,
2010-07,0.604,
2010-10,0.580,
2011-01,0.566,
2011-04,0.567,
2011-07,0.565,
2011-10,0.565,
2012-01,0.574,
2012-04,0.589,
2012-07,0.604,
2012-10,0.592,
2013-01,0.602,
2013-04,0.601,
2013-07,0.597,
2013-10,0.610,
2014-01,0.616,
2014-04,0.639,
2014-07,0.636,
