"",BBK01.OEXI08T,BBK01.OEXI08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:18,
2002-01,0.384,
2002-04,0.369,
2002-07,0.365,
2002-10,0.389,
2003-01,0.429,
2003-04,0.431,
2003-07,0.439,
2003-10,0.455,
2004-01,0.452,
2004-04,0.451,
2004-07,0.438,
2004-10,0.335,
2005-01,0.342,
2005-04,0.347,
2005-07,0.334,
2005-10,0.349,
2006-01,0.354,
2006-04,0.341,
2006-07,0.325,
2006-10,0.342,
2007-01,0.333,
2007-04,0.323,
2007-07,0.321,
2007-10,0.329,
2008-01,0.333,
2008-04,0.322,
2008-07,0.317,
2008-10,0.317,
2009-01,0.331,
2009-04,0.322,
2009-07,0.322,
2009-10,0.339,
2010-01,0.339,
2010-04,0.328,
2010-07,0.329,
2010-10,0.331,
2011-01,0.323,
2011-04,0.304,
2011-07,0.294,
2011-10,0.293,
2012-01,0.289,
2012-04,0.288,
2012-07,0.299,
2012-10,0.310,
2013-01,0.311,
2013-04,0.315,
2013-07,0.322,
2013-10,0.330,
2014-01,0.326,
2014-04,0.325,
2014-07,0.318,
