"",BBK01.OEAN07Q,BBK01.OEAN07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:11,
2002-01,1.294,
2002-04,1.261,
2002-07,1.376,
2002-10,1.394,
2003-01,1.288,
2003-04,1.297,
2003-07,1.388,
2003-10,1.397,
2004-01,1.325,
2004-04,1.300,
2004-07,1.286,
2004-10,1.094,
2005-01,1.055,
2005-04,1.015,
2005-07,0.878,
2005-10,0.634,
2006-01,0.601,
2006-04,0.585,
2006-07,0.572,
2006-10,0.562,
2007-01,0.504,
2007-04,0.490,
2007-07,0.296,
2007-10,0.271,
2008-01,0.251,
2008-04,0.237,
2008-07,0.225,
2008-10,0.195,
2009-01,0.189,
2009-04,0.188,
2009-07,0.189,
2009-10,0.184,
2010-01,0.232,
2010-04,0.341,
2010-07,0.277,
2010-10,0.265,
2011-01,0.189,
2011-04,0.169,
2011-07,0.169,
2011-10,0.164,
2012-01,0.165,
2012-04,0.176,
2012-07,0.232,
2012-10,0.268,
2013-01,0.295,
2013-04,0.340,
2013-07,0.332,
2013-10,0.341,
2014-01,0.346,
2014-04,0.339,
2014-07,0.373,
