"",BBFB1.Q.N.DE.RU.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:35,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-47.008,
1992-07,-69.327,
1992-10,-51.710,
1993-01,-70.234,
1993-04,-102.001,
1993-07,-157.483,
1993-10,-122.201,
1994-01,-166.678,
1994-04,-206.366,
1994-07,-255.230,
1994-10,-225.657,
1995-01,-180.387,
1995-04,-249.883,
1995-07,-311.630,
1995-10,-292.451,
1996-01,-238.609,
1996-04,-267.570,
1996-07,-327.380,
1996-10,-307.506,
1997-01,-114.002,
1997-04,-134.931,
1997-07,-166.054,
1997-10,-180.807,
1998-01,-147.716,
1998-04,-202.518,
1998-07,-228.768,
1998-10,-156.067,
1999-01,-138.325,
1999-04,-130.454,
1999-07,-125.020,
1999-10,-167.483,
2000-01,-162.687,
2000-04,-200.453,
2000-07,-215.900,
2000-10,-232.324,
2001-01,-166.344,
2001-04,-72.082,
2001-07,-263.783,
2001-10,-115.132,
2002-01,-152.213,
2002-04,-236.209,
2002-07,-282.699,
2002-10,-196.874,
2003-01,-140.341,
2003-04,-190.385,
2003-07,-317.610,
2003-10,-172.803,
2004-01,-157.305,
2004-04,-208.772,
2004-07,-307.496,
2004-10,-95.033,
2005-01,-39.145,
2005-04,-32.814,
2005-07,-137.061,
2005-10,67.030,
2006-01,-15.915,
2006-04,-50.572,
2006-07,-112.936,
2006-10,81.314,
2007-01,19.180,
2007-04,-6.755,
2007-07,-77.818,
2007-10,-7.094,
2008-01,-3.994,
2008-04,17.810,
2008-07,-29.200,
2008-10,67.891,
2009-01,63.224,
2009-04,6.482,
2009-07,-69.819,
2009-10,65.708,
2010-01,-135.499,
2010-04,-323.547,
2010-07,-282.516,
2010-10,-47.495,
2011-01,-74.557,
2011-04,29.749,
2011-07,-41.855,
2011-10,324.989,
2012-01,220.757,
2012-04,78.645,
2012-07,26.481,
2012-10,263.115,
2013-01,187.335,
2013-04,38.935,
2013-07,14.234,
2013-10,214.219,
2014-01,230.472,Provisional value
2014-04,154.649,Provisional value
2014-07,89.876,Provisional value
