"",BBK01.OEHJ02L,BBK01.OEHJ02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:20,
2002-01,2.351,
2002-04,2.429,
2002-07,2.677,
2002-10,2.883,
2003-01,2.856,
2003-04,2.900,
2003-07,2.952,
2003-10,3.221,
2004-01,3.032,
2004-04,3.062,
2004-07,3.140,
2004-10,3.636,
2005-01,3.379,
2005-04,3.420,
2005-07,3.474,
2005-10,3.684,
2006-01,3.414,
2006-04,3.323,
2006-07,3.360,
2006-10,3.741,
2007-01,3.529,
2007-04,3.659,
2007-07,3.591,
2007-10,3.872,
2008-01,3.753,
2008-04,3.726,
2008-07,3.668,
2008-10,3.985,
2009-01,4.381,
2009-04,4.678,
2009-07,5.073,
2009-10,5.404,
2010-01,5.431,
2010-04,5.595,
2010-07,5.734,
2010-10,5.887,
2011-01,5.855,
2011-04,5.741,
2011-07,5.874,
2011-10,5.979,
2012-01,5.981,
2012-04,6.150,
2012-07,6.473,
2012-10,6.709,
2013-01,6.711,
2013-04,6.902,
2013-07,7.399,
2013-10,7.619,
2014-01,7.378,
2014-04,7.500,
2014-07,8.203,
