"",BBSF2.M.1.S.I1312.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1312.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / State Government / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:34,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,486,
2010-02,504,
2010-03,520,
2010-04,517,
2010-05,513,
2010-06,604,
2010-07,611,
2010-08,615,
2010-09,615,
2010-10,618,
2010-11,611,
2010-12,781,
2011-01,784,
2011-02,792,
2011-03,782,
2011-04,790,
2011-05,794,
2011-06,894,
2011-07,894,
2011-08,870,
2011-09,860,
2011-10,880,
2011-11,714,
2011-12,727,
2012-01,740,
2012-02,752,
2012-03,755,
2012-04,755,
2012-05,747,
2012-06,869,
2012-07,887,
2012-08,896,
2012-09,899,
2012-10,904,
2012-11,910,
2012-12,917,
2013-01,926,
2013-02,933,
2013-03,1075,
2013-04,1090,
2013-05,1093,
2013-06,1202,
2013-07,1237,
2013-08,1235,
2013-09,1258,
2013-10,1283,
2013-11,1292,
2013-12,1290,
2014-01,1293,
2014-02,1319,
2014-03,1318,
2014-04,1401,
2014-05,1425,
2014-06,1536,
2014-07,1742,
2014-08,1765,
2014-09,1774,
2014-10,1767,
2014-11,1799,
