"",BBFN1.M.DE.N.1.L.FR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:16,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.624,
1995-01,3.467,
1995-02,3.470,
1995-03,3.687,
1995-04,3.583,
1995-05,3.692,
1995-06,3.785,
1995-07,3.654,
1995-08,3.415,
1995-09,3.651,
1995-10,3.703,
1995-11,3.760,
1995-12,3.440,
1996-01,3.376,
1996-02,3.324,
1996-03,3.412,
1996-04,3.431,
1996-05,3.371,
1996-06,3.423,
1996-07,3.397,
1996-08,3.046,
1996-09,3.414,
1996-10,3.323,
1996-11,3.427,
1996-12,3.567,
1997-01,3.396,
1997-02,3.395,
1997-03,3.619,
1997-04,3.666,
1997-05,3.407,
1997-06,3.611,
1997-07,3.617,
1997-08,3.170,
1997-09,3.734,
1997-10,3.845,
1997-11,3.734,
1997-12,3.986,
1998-01,3.699,
1998-02,3.740,
1998-03,3.968,
1998-04,3.770,
1998-05,3.656,
1998-06,3.975,
1998-07,4.162,
1998-08,3.641,
1998-09,4.142,
1998-10,4.262,
1998-11,4.294,
1998-12,4.365,
1999-01,4.060,
1999-02,3.989,
1999-03,4.392,
1999-04,4.283,
1999-05,3.938,
1999-06,4.059,
1999-07,4.138,
1999-08,3.716,
1999-09,4.087,
1999-10,4.199,
1999-11,4.141,
1999-12,4.551,
2000-01,4.375,
2000-02,4.648,
2000-03,4.970,
2000-04,4.741,
2000-05,4.695,
2000-06,4.774,
2000-07,4.508,
2000-08,4.197,
2000-09,4.528,
2000-10,4.415,
2000-11,4.651,
2000-12,4.792,
2001-01,4.538,
2001-02,4.791,
2001-03,4.899,
2001-04,4.619,
2001-05,4.532,
2001-06,4.736,
2001-07,4.497,
2001-08,4.203,
2001-09,4.532,
2001-10,4.568,
2001-11,4.685,
2001-12,5.066,
2002-01,4.703,
2002-02,4.618,
2002-03,4.646,
2002-04,4.582,
2002-05,4.414,
2002-06,4.485,
2002-07,4.506,
2002-08,4.010,
2002-09,4.286,
2002-10,4.465,
2002-11,4.471,
2002-12,5.068,
2003-01,4.283,
2003-02,4.483,
2003-03,4.981,
2003-04,4.550,
2003-05,4.320,
2003-06,4.537,
2003-07,4.460,
2003-08,3.616,
2003-09,4.136,
2003-10,4.190,
2003-11,4.139,
2003-12,4.661,
2004-01,4.129,
2004-02,4.076,
2004-03,4.553,
2004-04,4.183,
2004-05,3.991,
2004-06,4.355,
2004-07,4.158,
2004-08,3.670,
2004-09,4.156,
2004-10,4.393,
2004-11,4.318,
2004-12,4.609,
2005-01,3.902,
2005-02,4.057,
2005-03,4.408,
2005-04,4.367,
2005-05,4.238,
2005-06,4.685,
2005-07,4.706,
2005-08,3.910,
2005-09,4.576,
2005-10,4.507,
2005-11,4.754,
2005-12,4.902,
2006-01,4.295,
2006-02,4.465,
2006-03,4.910,
2006-04,4.439,
2006-05,4.627,
2006-06,4.867,
2006-07,4.580,
2006-08,4.272,
2006-09,4.908,
2006-10,5.094,
2006-11,4.979,
2006-12,5.286,
2007-01,4.988,
2007-02,4.953,
2007-03,5.560,
2007-04,4.980,
2007-05,5.034,
2007-06,5.325,
2007-07,5.411,
2007-08,4.853,
2007-09,5.276,
2007-10,5.365,
2007-11,5.458,
2007-12,5.420,
2008-01,5.381,
2008-02,5.871,
2008-03,6.073,
2008-04,6.032,
2008-05,5.789,
2008-06,6.174,
2008-07,5.850,
2008-08,5.068,
2008-09,5.455,
2008-10,5.470,
2008-11,5.498,
2008-12,5.349,
2009-01,4.763,
2009-02,4.648,
2009-03,4.967,
2009-04,4.756,
2009-05,4.461,
2009-06,4.851,
2009-07,4.729,
2009-08,4.145,
2009-09,4.533,
2009-10,4.465,
2009-11,4.520,
2009-12,4.763,
2010-01,4.047,
2010-02,4.518,
2010-03,4.796,
2010-04,4.585,
2010-05,4.528,
2010-06,4.856,
2010-07,4.740,
2010-08,4.242,
2010-09,4.967,
2010-10,4.813,
2010-11,4.610,
2010-12,5.115,
2011-01,4.634,
2011-02,5.093,
2011-03,5.431,
2011-04,5.228,
2011-05,5.174,
2011-06,5.147,
2011-07,5.377,
2011-08,4.623,
2011-09,5.020,
2011-10,5.107,
2011-11,5.114,
2011-12,5.527,
2012-01,4.766,
2012-02,5.155,
2012-03,5.277,
2012-04,5.021,
2012-05,4.736,
2012-06,5.253,
2012-07,5.101,
2012-08,4.517,
2012-09,4.855,
2012-10,5.337,
2012-11,5.341,
2012-12,5.759,
2013-01,4.966,
2013-02,5.402,
2013-03,5.628,
2013-04,5.237,
2013-05,5.188,
2013-06,5.353,
2013-07,5.407,
2013-08,4.955,
2013-09,5.405,
2013-10,5.207,
2013-11,5.254,
2013-12,5.341,
2014-01,4.607,
2014-02,4.926,
2014-03,5.253,
2014-04,5.231,
2014-05,5.038,
2014-06,5.382,
2014-07,5.399,
2014-08,4.837,
2014-09,5.381,
2014-10,5.526,
2014-11,5.708,
2014-12,5.809,
