"",BBK01.OEBB01S,BBK01.OEBB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:37,
2002-01,8.358,
2002-04,8.294,
2002-07,8.232,
2002-10,8.026,
2003-01,7.887,
2003-04,7.975,
2003-07,8.035,
2003-10,8.068,
2004-01,8.015,
2004-04,7.942,
2004-07,7.965,
2004-10,7.920,
2005-01,9.153,
2005-04,9.261,
2005-07,9.276,
2005-10,9.163,
2006-01,9.282,
2006-04,9.342,
2006-07,9.461,
2006-10,9.459,
2007-01,9.513,
2007-04,9.632,
2007-07,9.695,
2007-10,9.861,
2008-01,9.819,
2008-04,9.840,
2008-07,9.892,
2008-10,9.947,
2009-01,9.973,
2009-04,10.654,
2009-07,10.767,
2009-10,10.867,
2010-01,10.892,
2010-04,10.938,
2010-07,11.049,
2010-10,11.103,
2011-01,11.232,
2011-04,11.373,
2011-07,11.476,
2011-10,11.686,
2012-01,11.738,
2012-04,11.815,
2012-07,11.900,
2012-10,11.951,
2013-01,12.019,
2013-04,12.089,
2013-07,12.188,
2013-10,12.217,
2014-01,12.203,
2014-04,12.244,
2014-07,12.334,
