"",BBK01.OEAC13G,BBK01.OEAC13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:55,
2002-01,13.429,
2002-04,12.788,
2002-07,12.621,
2002-10,12.835,
2003-01,12.359,
2003-04,12.445,
2003-07,11.044,
2003-10,10.247,
2004-01,9.965,
2004-04,9.109,
2004-07,8.819,
2004-10,8.962,
2005-01,8.843,
2005-04,8.812,
2005-07,8.376,
2005-10,8.979,
2006-01,8.916,
2006-04,8.320,
2006-07,8.048,
2006-10,7.826,
2007-01,7.723,
2007-04,7.240,
2007-07,7.179,
2007-10,7.223,
2008-01,7.254,
2008-04,7.268,
2008-07,7.235,
2008-10,7.297,
2009-01,6.871,
2009-04,6.887,
2009-07,6.975,
2009-10,6.935,
2010-01,6.970,
2010-04,6.847,
2010-07,6.980,
2010-10,6.892,
2011-01,7.036,
2011-04,7.068,
2011-07,7.056,
2011-10,7.222,
2012-01,7.170,
2012-04,7.522,
2012-07,7.507,
2012-10,7.251,
2013-01,7.042,
2013-04,7.138,
2013-07,7.217,
2013-10,7.927,
2014-01,7.986,
2014-04,8.131,
2014-07,8.255,
