"",BBK01.OEAC49O,BBK01.OEAC49O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:52,
2002-01,1.847,
2002-04,1.839,
2002-07,1.849,
2002-10,1.818,
2003-01,1.807,
2003-04,1.805,
2003-07,1.653,
2003-10,1.659,
2004-01,1.655,
2004-04,1.658,
2004-07,1.656,
2004-10,1.656,
2005-01,1.661,
2005-04,1.646,
2005-07,1.650,
2005-10,1.662,
2006-01,1.677,
2006-04,1.672,
2006-07,1.674,
2006-10,1.705,
2007-01,1.695,
2007-04,1.725,
2007-07,1.721,
2007-10,1.687,
2008-01,1.722,
2008-04,1.713,
2008-07,1.706,
2008-10,1.833,
2009-01,2.062,
2009-04,1.997,
2009-07,2.009,
2009-10,2.004,
2010-01,2.132,
2010-04,2.101,
2010-07,2.174,
2010-10,2.178,
2011-01,2.150,
2011-04,2.103,
2011-07,2.185,
2011-10,2.168,
2012-01,2.172,
2012-04,2.213,
2012-07,2.195,
2012-10,2.174,
2013-01,2.152,
2013-04,2.164,
2013-07,2.165,
2013-10,2.133,
2014-01,2.221,
2014-04,2.188,
2014-07,2.187,
