"",BBK01.OEAD35N,BBK01.OEAD35N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:36,
2002-01,4.673,
2002-04,4.664,
2002-07,4.260,
2002-10,4.174,
2003-01,4.066,
2003-04,4.025,
2003-07,3.993,
2003-10,4.050,
2004-01,3.880,
2004-04,3.838,
2004-07,3.558,
2004-10,3.570,
2005-01,3.458,
2005-04,3.444,
2005-07,3.383,
2005-10,3.316,
2006-01,3.306,
2006-04,3.389,
2006-07,3.378,
2006-10,3.391,
2007-01,3.374,
2007-04,3.432,
2007-07,3.484,
2007-10,3.571,
2008-01,3.637,
2008-04,3.886,
2008-07,3.838,
2008-10,3.986,
2009-01,3.967,
2009-04,4.000,
2009-07,3.853,
2009-10,3.659,
2010-01,3.756,
2010-04,3.714,
2010-07,3.928,
2010-10,3.930,
2011-01,3.937,
2011-04,3.982,
2011-07,3.982,
2011-10,3.956,
2012-01,3.953,
2012-04,4.000,
2012-07,4.043,
2012-10,4.039,
2013-01,4.003,
2013-04,3.989,
2013-07,3.904,
2013-10,3.867,
2014-01,3.870,
2014-04,3.828,
2014-07,3.814,
