"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.GR.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.GR.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Greece / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:22,
2009-09,8806,
2009-10,8834,
2009-11,9212,
2009-12,8991,
2010-01,8145,
2010-02,8461,
2010-03,9091,
2010-04,6787,
2010-05,6051,
2010-06,4643,
2010-07,4404,
2010-08,4182,
2010-09,4436,
2010-10,4358,
2010-11,3980,
2010-12,3869,
2011-01,3931,
2011-02,3820,
2011-03,3412,
2011-04,2615,
2011-05,2249,
2011-06,2076,
2011-07,2082,
2011-08,1753,
2011-09,1365,
2011-10,1336,
2011-11,903,
2011-12,891,
2012-01,860,
2012-02,770,
2012-03,200,
2012-04,159,
2012-05,51,
2012-06,51,
2012-07,52,
2012-08,61,
2012-09,67,
2012-10,80,
2012-11,93,
2012-12,24,
2013-01,23,
2013-02,23,
2013-03,20,
2013-04,20,
2013-05,23,
2013-06,20,
2013-07,21,
2013-08,20,
2013-09,23,
2013-10,25,
2013-11,43,
2013-12,44,
2014-01,35,
2014-02,27,
2014-03,29,
2014-04,48,
2014-05,49,
2014-06,52,
2014-07,47,
2014-08,46,
2014-09,45,
2014-10,56,
2014-11,62,
