"",BBK01.OEGB16I,BBK01.OEGB16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:04,
2002-01,2.518,
2002-04,2.514,
2002-07,2.493,
2002-10,2.455,
2003-01,2.421,
2003-04,2.363,
2003-07,2.985,
2003-10,2.908,
2004-01,2.858,
2004-04,2.775,
2004-07,2.644,
2004-10,2.586,
2005-01,2.527,
2005-04,2.514,
2005-07,2.630,
2005-10,2.528,
2006-01,2.445,
2006-04,2.434,
2006-07,2.459,
2006-10,2.236,
2007-01,2.222,
2007-04,2.167,
2007-07,2.107,
2007-10,2.057,
2008-01,2.004,
2008-04,1.982,
2008-07,1.953,
2008-10,1.696,
2009-01,1.678,
2009-04,1.628,
2009-07,1.580,
2009-10,1.568,
2010-01,1.560,
2010-04,1.545,
2010-07,1.536,
2010-10,1.537,
2011-01,1.526,
2011-04,1.518,
2011-07,1.522,
2011-10,1.487,
2012-01,1.466,
2012-04,1.467,
2012-07,1.471,
2012-10,1.459,
2013-01,1.427,
2013-04,1.417,
2013-07,1.400,
2013-10,1.382,
2014-01,1.376,
2014-04,1.365,
2014-07,1.386,
