"",BBK01.OEXB19S,BBK01.OEXB19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:07,
2002-01,0.057,
2002-04,0.056,
2002-07,0.056,
2002-10,0.056,
2003-01,0.054,
2003-04,0.052,
2003-07,0.055,
2003-10,0.055,
2004-01,0.055,
2004-04,0.058,
2004-07,0.059,
2004-10,0.064,
2005-01,0.064,
2005-04,0.069,
2005-07,0.069,
2005-10,0.069,
2006-01,0.069,
2006-04,0.071,
2006-07,0.072,
2006-10,0.074,
2007-01,0.077,
2007-04,0.073,
2007-07,0.072,
2007-10,0.069,
2008-01,0.068,
2008-04,0.071,
2008-07,0.070,
2008-10,0.071,
2009-01,0.072,
2009-04,0.070,
2009-07,0.073,
2009-10,0.071,
2010-01,0.069,
2010-04,0.076,
2010-07,0.074,
2010-10,0.071,
2011-01,0.068,
2011-04,0.065,
2011-07,0.064,
2011-10,0.057,
2012-01,0.054,
2012-04,0.050,
2012-07,0.048,
2012-10,0.046,
2013-01,0.044,
2013-04,0.043,
2013-07,0.046,
2013-10,0.046,
2014-01,0.044,
2014-04,0.044,
2014-07,0.043,
