"",BBFN1.M.DE.N.1.A.LI.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LI.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2008-07,0.129,
2008-08,0.040,
2008-09,0.040,
2008-10,0.038,
2008-11,0.033,
2008-12,0.033,
2009-01,0.039,
2009-02,0.039,
2009-03,0.037,
2009-04,0.040,
2009-05,0.042,
2009-06,.,No value available
2009-07,.,No value available
2009-08,.,No value available
2009-09,.,No value available
2009-10,.,No value available
2009-11,.,No value available
2009-12,.,No value available
2010-01,.,No value available
2010-02,0.021,
2010-03,0.021,
2010-04,0.022,
2010-05,0.020,
2010-06,0.023,
2010-07,0.023,
2010-08,0.023,
2010-09,0.031,
2010-10,0.023,
2010-11,0.044,
2010-12,0.016,
2011-01,0.023,
2011-02,0.022,
2011-03,0.027,
2011-04,0.028,
2011-05,0.031,
2011-06,0.032,
2011-07,.,No value available
2011-08,0.026,
2011-09,0.025,
2011-10,.,No value available
2011-11,0.076,
2011-12,0.132,
2012-01,0.134,
2012-02,0.140,
2012-03,0.142,
2012-04,0.156,
2012-05,0.150,
2012-06,0.150,
2012-07,0.158,
2012-08,0.281,
2012-09,0.269,
2012-10,0.266,
2012-11,0.264,
2012-12,0.268,
2013-01,0.275,
2013-02,0.276,
2013-03,0.296,
2013-04,0.302,
2013-05,0.286,
2013-06,0.291,
2013-07,0.441,
2013-08,0.459,
2013-09,0.438,
2013-10,0.447,
2013-11,0.443,
2013-12,0.444,
2014-01,0.436,
2014-02,0.448,
2014-03,0.432,
2014-04,0.450,
2014-05,0.445,
2014-06,0.432,
2014-07,0.442,
2014-08,0.440,
2014-09,0.447,
2014-10,0.445,
2014-11,0.466,
2014-12,0.460,
