"",BBFB1.Q.N.DE.NL.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:16,
1991-01,13.232,
1991-04,28.473,
1991-07,44.247,
1991-10,13.080,
1992-01,90.067,
1992-04,33.561,
1992-07,32.466,
1992-10,67.459,
1993-01,39.130,
1993-04,29.311,
1993-07,41.798,
1993-10,-0.777,
1994-01,55.611,
1994-04,48.191,
1994-07,-2.363,
1994-10,68.003,
1995-01,73.790,
1995-04,68.481,
1995-07,38.324,
1995-10,94.280,
1996-01,19.006,
1996-04,37.047,
1996-07,238.433,
1996-10,48.080,
1997-01,37.273,
1997-04,16.101,
1997-07,43.073,
1997-10,110.739,
1998-01,84.857,
1998-04,109.991,
1998-07,37.340,
1998-10,80.765,
1999-01,22.200,
1999-04,22.159,
1999-07,20.346,
1999-10,5.417,
2000-01,-31.325,
2000-04,-8.302,
2000-07,-38.868,
2000-10,0.321,
2001-01,-45.814,
2001-04,-65.843,
2001-07,-62.096,
2001-10,-129.561,
2002-01,-77.090,
2002-04,-73.469,
2002-07,213.793,
2002-10,9.793,
2003-01,-53.152,
2003-04,-58.500,
2003-07,-80.946,
2003-10,-19.340,
2004-01,-60.413,
2004-04,-153.561,
2004-07,-155.935,
2004-10,-81.170,
2005-01,-118.833,
2005-04,-140.964,
2005-07,-112.298,
2005-10,-113.309,
2006-01,-65.790,
2006-04,-72.432,
2006-07,-115.527,
2006-10,-107.958,
2007-01,-134.935,
2007-04,-82.326,
2007-07,-289.050,
2007-10,-154.129,
2008-01,-108.902,
2008-04,-71.772,
2008-07,-166.186,
2008-10,-160.693,
2009-01,-172.116,
2009-04,-149.165,
2009-07,-165.142,
2009-10,-233.328,
2010-01,-236.680,
2010-04,-232.929,
2010-07,-232.177,
2010-10,-210.445,
2011-01,-179.688,
2011-04,-149.458,
2011-07,-271.966,
2011-10,-199.808,
2012-01,-171.815,
2012-04,-260.940,
2012-07,-166.177,
2012-10,-209.793,
2013-01,-194.946,
2013-04,-187.960,
2013-07,-86.987,
2013-10,-22.308,
2014-01,-49.983,Provisional value
2014-04,-196.802,Provisional value
2014-07,61.202,Provisional value
