"",BBK01.OEAG03N,BBK01.OEAG03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:25,
2002-01,47.613,
2002-04,47.935,
2002-07,49.296,
2002-10,45.262,
2003-01,45.237,
2003-04,44.254,
2003-07,43.671,
2003-10,38.396,
2004-01,42.114,
2004-04,40.415,
2004-07,39.022,
2004-10,35.405,
2005-01,35.854,
2005-04,36.895,
2005-07,39.427,
2005-10,38.685,
2006-01,39.296,
2006-04,37.254,
2006-07,37.224,
2006-10,37.138,
2007-01,36.610,
2007-04,34.969,
2007-07,35.066,
2007-10,34.572,
2008-01,34.399,
2008-04,35.259,
2008-07,22.219,
2008-10,22.494,
2009-01,21.757,
2009-04,23.717,
2009-07,25.404,
2009-10,25.828,
2010-01,25.553,
2010-04,40.406,
2010-07,33.663,
2010-10,34.867,
2011-01,32.050,
2011-04,27.700,
2011-07,27.277,
2011-10,27.781,
2012-01,26.989,
2012-04,36.200,
2012-07,32.293,
2012-10,24.786,
2013-01,22.934,
2013-04,22.803,
2013-07,22.289,
2013-10,21.047,
2014-01,20.746,
2014-04,19.470,
2014-07,18.981,
