"",BBFB1.Q.N.DE.PT.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:33,
1991-01,61.197,
1991-04,45.896,
1991-07,43.841,
1991-10,65.330,
1992-01,72.419,
1992-04,40.663,
1992-07,42.159,
1992-10,14.513,
1993-01,51.494,
1993-04,40.954,
1993-07,41.175,
1993-10,17.264,
1994-01,54.459,
1994-04,49.749,
1994-07,49.888,
1994-10,52.423,
1995-01,50.807,
1995-04,51.875,
1995-07,52.402,
1995-10,45.722,
1996-01,55.925,
1996-04,55.605,
1996-07,54.384,
1996-10,52.892,
1997-01,55.183,
1997-04,58.662,
1997-07,57.587,
1997-10,56.423,
1998-01,59.930,
1998-04,57.462,
1998-07,57.934,
1998-10,57.888,
1999-01,55.146,
1999-04,56.352,
1999-07,54.698,
1999-10,57.210,
2000-01,57.492,
2000-04,59.178,
2000-07,57.473,
2000-10,56.018,
2001-01,63.459,
2001-04,61.109,
2001-07,59.421,
2001-10,60.884,
2002-01,62.478,
2002-04,55.367,
2002-07,71.286,
2002-10,57.670,
2003-01,54.523,
2003-04,59.634,
2003-07,60.264,
2003-10,59.223,
2004-01,46.160,
2004-04,55.566,
2004-07,45.427,
2004-10,47.784,
2005-01,40.602,
2005-04,47.097,
2005-07,42.136,
2005-10,43.872,
2006-01,41.649,
2006-04,58.965,
2006-07,44.651,
2006-10,46.585,
2007-01,43.339,
2007-04,56.224,
2007-07,48.635,
2007-10,45.912,
2008-01,51.158,
2008-04,56.118,
2008-07,47.159,
2008-10,51.285,
2009-01,53.220,
2009-04,61.831,
2009-07,52.792,
2009-10,49.394,
2010-01,57.494,
2010-04,71.742,
2010-07,61.359,
2010-10,62.284,
2011-01,49.240,
2011-04,76.894,
2011-07,49.794,
2011-10,54.270,
2012-01,60.123,
2012-04,60.047,
2012-07,51.642,
2012-10,57.052,
2013-01,55.673,
2013-04,64.032,
2013-07,43.512,
2013-10,53.351,
2014-01,51.569,Provisional value
2014-04,67.510,Provisional value
2014-07,54.702,Provisional value
