"",BBK01.CEFA05,BBK01.CEFA05_FLAGS
"",short-term debt securities  debtor: Total                              creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:34,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.3,
2001-10,0.3,
2002-01,0.3,
2002-04,0.3,
2002-07,0.0,
2002-10,0.0,
2003-01,0.0,
2003-04,0.0,
2003-07,0.0,
2003-10,0.7,
2004-01,0.7,
2004-04,0.7,
2004-07,0.7,
2004-10,0.1,
2005-01,0.1,
2005-04,0.1,
2005-07,0.1,
2005-10,0.0,
2006-01,2.3,
2006-04,3.9,
2006-07,3.4,
2006-10,1.8,
2007-01,2.6,
2007-04,3.9,
2007-07,2.3,
2007-10,1.0,
2008-01,2.9,
2008-04,2.6,
2008-07,2.7,
2008-10,3.5,
2009-01,5.9,
2009-04,4.8,
2009-07,1.2,
2009-10,0.6,
2010-01,0.6,
2010-04,0.9,
2010-07,1.1,
2010-10,1.2,
2011-01,0.7,
2011-04,0.7,
2011-07,0.3,
2011-10,0.3,
2012-01,0.5,
2012-04,0.4,
2012-07,0.6,
2012-10,0.2,
2013-01,0.2,
2013-04,0.2,
2013-07,0.1,
2013-10,0.1,
2014-01,0.2,
2014-04,0.2,
2014-07,0.2,
