"",BBFI1.Q.N.DE.W1.S121.S1.LE.A.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S121.S1.LE.A.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Assets - Positions - Central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:54,
1999-10,47682,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,5710,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-18305,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,17543,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,17023,
2004-01,23112,
2004-04,-8829,
2004-07,22602,
2004-10,19916,
2005-01,24748,
2005-04,9262,
2005-07,18869,
2005-10,41951,
2006-01,14663,
2006-04,241,
2006-07,27374,
2006-10,17463,
2007-01,33064,
2007-04,29721,
2007-07,59586,
2007-10,83173,
2008-01,99137,
2008-04,107659,
2008-07,112081,
2008-10,127774,
2009-01,162892,
2009-04,182264,
2009-07,190246,
2009-10,189147,
2010-01,218328,
2010-04,260328,
2010-07,320890,
2010-10,336464,
2011-01,334139,
2011-04,347450,
2011-07,460523,
2011-10,474222,
2012-01,626503,
2012-04,739478,
2012-07,706370,
2012-10,666585,
2013-01,599632,
2013-04,586386,
2013-07,581240,
2013-10,521073,
2014-01,480505,
2014-04,472248,
2014-07,490350,
