"",BBFN1.M.DE.N.1.A.PT.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:21,
1994-07,0.887,
1994-08,0.921,
1994-09,0.982,
1994-10,0.981,
1994-11,1.020,
1994-12,0.961,
1995-01,0.981,
1995-02,0.991,
1995-03,0.997,
1995-04,0.958,
1995-05,0.952,
1995-06,0.959,
1995-07,0.947,
1995-08,0.888,
1995-09,0.938,
1995-10,0.921,
1995-11,0.994,
1995-12,0.949,
1996-01,0.905,
1996-02,0.912,
1996-03,0.956,
1996-04,0.965,
1996-05,0.999,
1996-06,1.007,
1996-07,1.000,
1996-08,0.898,
1996-09,0.971,
1996-10,0.974,
1996-11,1.029,
1996-12,0.984,
1997-01,1.012,
1997-02,1.024,
1997-03,1.027,
1997-04,1.076,
1997-05,1.060,
1997-06,1.089,
1997-07,1.049,
1997-08,0.950,
1997-09,1.072,
1997-10,1.178,
1997-11,1.062,
1997-12,0.999,
1998-01,1.030,
1998-02,1.116,
1998-03,1.216,
1998-04,1.143,
1998-05,1.191,
1998-06,1.174,
1998-07,1.197,
1998-08,1.139,
1998-09,1.237,
1998-10,1.284,
1998-11,1.272,
1998-12,1.047,
1999-01,1.066,
1999-02,1.047,
1999-03,1.112,
1999-04,1.089,
1999-05,1.198,
1999-06,1.110,
1999-07,1.140,
1999-08,1.060,
1999-09,1.052,
1999-10,1.159,
1999-11,1.155,
1999-12,1.110,
2000-01,1.150,
2000-02,1.175,
2000-03,1.177,
2000-04,1.161,
2000-05,1.215,
2000-06,1.292,
2000-07,1.338,
2000-08,1.329,
2000-09,1.349,
2000-10,1.371,
2000-11,1.382,
2000-12,1.276,
2001-01,1.257,
2001-02,1.198,
2001-03,1.307,
2001-04,1.302,
2001-05,1.294,
2001-06,1.244,
2001-07,1.235,
2001-08,1.192,
2001-09,1.249,
2001-10,1.233,
2001-11,1.291,
2001-12,1.246,
2002-01,1.148,
2002-02,1.193,
2002-03,1.115,
2002-04,1.183,
2002-05,1.134,
2002-06,1.105,
2002-07,1.116,
2002-08,1.103,
2002-09,1.111,
2002-10,1.077,
2002-11,1.143,
2002-12,1.095,
2003-01,1.052,
2003-02,1.067,
2003-03,1.082,
2003-04,1.083,
2003-05,1.068,
2003-06,1.064,
2003-07,1.054,
2003-08,0.973,
2003-09,1.052,
2003-10,1.046,
2003-11,1.015,
2003-12,1.036,
2004-01,1.019,
2004-02,1.001,
2004-03,1.118,
2004-04,1.071,
2004-05,1.124,
2004-06,1.161,
2004-07,1.148,
2004-08,1.122,
2004-09,1.122,
2004-10,1.109,
2004-11,1.148,
2004-12,1.044,
2005-01,1.060,
2005-02,1.049,
2005-03,1.109,
2005-04,1.075,
2005-05,1.099,
2005-06,1.118,
2005-07,1.064,
2005-08,1.051,
2005-09,1.150,
2005-10,1.129,
2005-11,1.191,
2005-12,1.122,
2006-01,1.131,
2006-02,1.084,
2006-03,1.162,
2006-04,1.105,
2006-05,1.134,
2006-06,1.165,
2006-07,1.161,
2006-08,1.124,
2006-09,1.183,
2006-10,1.205,
2006-11,1.244,
2006-12,1.251,
2007-01,1.047,
2007-02,1.048,
2007-03,1.101,
2007-04,1.107,
2007-05,1.150,
2007-06,1.222,
2007-07,1.101,
2007-08,1.075,
2007-09,1.057,
2007-10,1.061,
2007-11,1.124,
2007-12,1.212,
2008-01,1.175,
2008-02,1.167,
2008-03,1.195,
2008-04,1.187,
2008-05,1.214,
2008-06,1.205,
2008-07,1.443,
2008-08,1.094,
2008-09,1.104,
2008-10,1.143,
2008-11,1.180,
2008-12,1.111,
2009-01,0.949,
2009-02,0.937,
2009-03,0.965,
2009-04,0.973,
2009-05,0.927,
2009-06,0.935,
2009-07,0.870,
2009-08,0.873,
2009-09,0.937,
2009-10,0.953,
2009-11,1.006,
2009-12,0.970,
2010-01,0.934,
2010-02,0.955,
2010-03,1.000,
2010-04,0.987,
2010-05,0.987,
2010-06,1.009,
2010-07,0.932,
2010-08,0.867,
2010-09,0.958,
2010-10,0.987,
2010-11,1.006,
2010-12,0.958,
2011-01,0.978,
2011-02,1.010,
2011-03,1.058,
2011-04,1.171,
2011-05,1.138,
2011-06,1.111,
2011-07,1.063,
2011-08,0.973,
2011-09,1.060,
2011-10,1.054,
2011-11,1.049,
2011-12,0.970,
2012-01,1.022,
2012-02,0.987,
2012-03,1.041,
2012-04,0.991,
2012-05,0.976,
2012-06,1.031,
2012-07,0.999,
2012-08,0.955,
2012-09,0.964,
2012-10,0.997,
2012-11,1.023,
2012-12,0.872,
2013-01,0.890,
2013-02,0.893,
2013-03,0.952,
2013-04,0.957,
2013-05,0.963,
2013-06,0.983,
2013-07,0.921,
2013-08,0.895,
2013-09,0.922,
2013-10,0.940,
2013-11,0.971,
2013-12,0.967,
2014-01,0.970,
2014-02,0.961,
2014-03,1.007,
2014-04,0.995,
2014-05,0.965,
2014-06,1.003,
2014-07,0.950,
2014-08,0.929,
2014-09,0.986,
2014-10,1.010,
2014-11,0.966,
2014-12,0.982,
