"",BBK01.OEHB04T,BBK01.OEHB04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:20,
2002-01,7.424,
2002-04,7.484,
2002-07,7.522,
2002-10,7.626,
2003-01,7.629,
2003-04,7.651,
2003-07,7.726,
2003-10,7.839,
2004-01,7.800,
2004-04,7.838,
2004-07,7.846,
2004-10,7.871,
2005-01,7.755,
2005-04,7.751,
2005-07,7.726,
2005-10,7.743,
2006-01,7.656,
2006-04,7.688,
2006-07,7.675,
2006-10,7.669,
2007-01,7.592,
2007-04,7.590,
2007-07,7.537,
2007-10,7.542,
2008-01,7.493,
2008-04,7.520,
2008-07,7.490,
2008-10,7.506,
2009-01,7.457,
2009-04,7.481,
2009-07,7.480,
2009-10,7.496,
2010-01,7.477,
2010-04,7.533,
2010-07,7.540,
2010-10,7.551,
2011-01,7.454,
2011-04,7.468,
2011-07,7.481,
2011-10,7.469,
2012-01,7.413,
2012-04,7.425,
2012-07,7.508,
2012-10,7.571,
2013-01,7.546,
2013-04,7.626,
2013-07,7.726,
2013-10,7.771,
2014-01,7.781,
2014-04,7.859,
2014-07,7.961,
