"",BBK01.CEFEL0,BBK01.CEFEL0_FLAGS
"",short-term loans  debtor: Pension funds               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:03,
1999-01,0.1,
1999-04,0.1,
1999-07,0.1,
1999-10,0.1,
2000-01,0.1,
2000-04,0.1,
2000-07,0.1,
2000-10,0.1,
2001-01,0.1,
2001-04,0.1,
2001-07,0.2,
2001-10,0.1,
2002-01,0.1,
2002-04,0.1,
2002-07,0.1,
2002-10,0.1,
2003-01,0.1,
2003-04,0.1,
2003-07,0.1,
2003-10,0.1,
2004-01,0.2,
2004-04,0.2,
2004-07,0.3,
2004-10,0.4,
2005-01,0.5,
2005-04,0.6,
2005-07,0.7,
2005-10,0.8,
2006-01,0.9,
2006-04,1.0,
2006-07,1.1,
2006-10,1.2,
2007-01,1.3,
2007-04,1.4,
2007-07,1.6,
2007-10,1.7,
2008-01,1.8,
2008-04,1.9,
2008-07,2.0,
2008-10,2.1,
2009-01,2.2,
2009-04,2.3,
2009-07,2.4,
2009-10,2.5,
2010-01,2.6,
2010-04,2.7,
2010-07,2.8,
2010-10,2.8,
2011-01,2.9,
2011-04,2.9,
2011-07,3.0,
2011-10,3.1,
2012-01,3.1,
2012-04,3.2,
2012-07,3.2,
2012-10,3.3,
2013-01,3.3,
2013-04,3.4,
2013-07,3.4,
2013-10,3.5,
2014-01,3.5,
2014-04,3.6,
2014-07,3.6,
