"",BBEX3.A.MRO.USD.CA.AC.A04,BBEX3.A.MRO.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Mauritania / USD 1 = MRO ... (middle),
unit,MRO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:19,
1975,43.135,
1976,44.960,
1977,45.683,
1978,46.156,
1979,45.885,
1980,45.919,
1981,48.249,
1982,52.130,
1983,54.995,
1984,64.254,
1985,77.347,comment
1986,74.315,
1987,73.626,
1988,75.412,
1989,82.907,
1990,80.399,
1991,82.354,
1992,87.628,comment
1993,120.153,
1994,123.692,
1995,130.207,comment
1996,137.390,
1997,152.809,
1998,189.350,
1999,210.234,
2000,240.610,
2001,255.978,
2002,271.528,
2003,262.938,
2004,265.157,
2005,265.182,
2006,268.600,
2007,258.858,
2008,242.983,
2009,262.474,
2010,277.107,
2011,281.102,
2012,296.937,
2013,300.782,
2014,302.935,
"","Source: Banque Centrale de Mauritanie, Nouakchott.",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1985: Between 14 January and 14 February 1985, technical adjustments were gradually made to the valuation methods for the ouguiya (inter alia the composition of the currency basket was changed). We recorded the following exchange rates (buying/selling rate) for the beginning and end of the adjustment period.  14 January 1985: USD 1 = MRO 66.80 / 67.80  14 February 1985: USD 1 = MRO 79.40 / 80.60  On the basis of these exchange rates, the ouguiya depreciated by 15.9% against the US dollar.",
"","Comment on 1992: On 4 October 1992, the ouguiya was devalued. We recorded the following exchange rates (buying/selling rate). 1 October 1992: USD 1 = MRO 81.41 / 82.65 4 October 1992: USD 1 = MRO 104.15 / 105.73 Calculated devaluation: 21.8%.",
"","Comment on 1995: In addition to the official exchange rate, there were reportedly other exchange rates in 1995; we do not have any details of these exchange rates or explanations as to their use.",
