"",BBK01.CEFY01,BBK01.CEFY01_FLAGS
"",Trade credits and advances                                    debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:59,
1999-01,447.9,
1999-04,454.4,
1999-07,459.4,
1999-10,466.8,
2000-01,477.8,
2000-04,482.5,
2000-07,488.9,
2000-10,493.8,
2001-01,494.3,
2001-04,493.6,
2001-07,489.6,
2001-10,483.3,
2002-01,478.3,
2002-04,482.7,
2002-07,479.7,
2002-10,478.3,
2003-01,481.0,
2003-04,480.5,
2003-07,480.5,
2003-10,481.0,
2004-01,479.7,
2004-04,478.4,
2004-07,471.3,
2004-10,464.8,
2005-01,472.8,
2005-04,480.7,
2005-07,486.6,
2005-10,489.6,
2006-01,497.1,
2006-04,498.3,
2006-07,498.2,
2006-10,500.3,
2007-01,519.7,
2007-04,532.2,
2007-07,548.3,
2007-10,556.3,
2008-01,567.4,
2008-04,578.8,
2008-07,581.4,
2008-10,579.7,
2009-01,556.9,
2009-04,552.8,
2009-07,535.4,
2009-10,530.3,
2010-01,536.9,
2010-04,568.2,
2010-07,579.8,
2010-10,596.2,
2011-01,620.3,
2011-04,621.8,
2011-07,634.2,
2011-10,643.9,
2012-01,647.6,
2012-04,656.6,
2012-07,666.2,
2012-10,672.8,
2013-01,678.0,
2013-04,665.4,
2013-07,675.8,
2013-10,667.7,
2014-01,669.1,
2014-04,669.3,
2014-07,687.8,
