"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:07,
1991-01,3247.371,
1991-04,-1343.413,
1991-07,-1035.267,
1991-10,2624.692,
1992-01,-54.556,
1992-04,1899.038,
1992-07,-1870.829,
1992-10,2333.543,
1993-01,2274.389,
1993-04,1605.069,
1993-07,-1660.031,
1993-10,4130.139,
1994-01,-2030.501,
1994-04,-1542.369,
1994-07,2686.797,
1994-10,-197.329,
1995-01,2564.402,
1995-04,2195.841,
1995-07,7301.235,
1995-10,1697.415,
1996-01,4421.218,
1996-04,5027.258,
1996-07,-528.068,
1996-10,-1071.037,
1997-01,4596.943,
1997-04,1780.873,
1997-07,-5892.889,
1997-10,3967.259,
1998-01,-8175.768,
1998-04,-11.681,
1998-07,-2648.716,
1998-10,5937.328,
1999-01,-9871.507,
1999-04,-211.277,
1999-07,1911.951,
1999-10,1785.212,
2000-01,296.790,
2000-04,135.998,
2000-07,2456.569,
2000-10,-506.015,
2001-01,1556.945,
2001-04,-3531.873,
2001-07,-48.795,
2001-10,5594.288,
2002-01,4037.429,
2002-04,-3321.724,
2002-07,3825.535,
2002-10,5066.660,
2003-01,-3067.852,
2003-04,13417.690,
2003-07,-1472.988,
2003-10,-8129.580,
2004-01,6285.937,
2004-04,1054.280,
2004-07,-3001.790,
2004-10,1482.464,
2005-01,-6099.244,
2005-04,10017.988,
2005-07,-1985.477,
2005-10,-4970.078,
2006-01,-3560.904,
2006-04,4213.407,
2006-07,-496.586,
2006-10,-5331.576,
2007-01,3763.418,
2007-04,3527.789,
2007-07,7259.227,
2007-10,1891.784,
2008-01,8544.085,
2008-04,7595.459,
2008-07,8390.311,
2008-10,-13457.425,
2009-01,-9361.356,
2009-04,-1210.244,
2009-07,707.794,
2009-10,-2091.267,
2010-01,105.970,
2010-04,2143.105,
2010-07,5334.515,
2010-10,-1752.942,
2011-01,-3976.249,
2011-04,-270.437,
2011-07,-7174.769,
2011-10,691.835,
2012-01,-4178.749,
2012-04,1599.923,
2012-07,-4265.796,
2012-10,-5444.473,
2013-01,6460.515,
2013-04,777.366,
2013-07,-1290.024,
2013-10,7772.992,
2014-01,3644.639,Provisional value
2014-04,6015.772,Provisional value
2014-07,-406.874,Provisional value
2014-10,-14907.122,Provisional value
