"",BBK01.OEBM05H,BBK01.OEBM05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:44,
2002-01,1.024,
2002-04,1.015,
2002-07,0.995,
2002-10,0.991,
2003-01,0.699,
2003-04,0.716,
2003-07,0.638,
2003-10,0.632,
2004-01,0.598,
2004-04,0.601,
2004-07,0.553,
2004-10,0.535,
2005-01,0.493,
2005-04,0.488,
2005-07,0.413,
2005-10,0.423,
2006-01,0.409,
2006-04,0.420,
2006-07,0.434,
2006-10,0.425,
2007-01,0.410,
2007-04,0.414,
2007-07,0.643,
2007-10,0.621,
2008-01,0.667,
2008-04,0.692,
2008-07,0.725,
2008-10,1.204,
2009-01,1.175,
2009-04,1.287,
2009-07,1.433,
2009-10,1.396,
2010-01,1.369,
2010-04,1.130,
2010-07,1.186,
2010-10,1.222,
2011-01,1.207,
2011-04,1.199,
2011-07,1.185,
2011-10,1.203,
2012-01,1.249,
2012-04,0.947,
2012-07,1.047,
2012-10,1.096,
2013-01,1.134,
2013-04,1.097,
2013-07,1.128,
2013-10,1.121,
2014-01,1.162,
2014-04,1.119,
2014-07,1.151,
