"",BBK01.OECI09N,BBK01.OECI09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:15,
2002-01,0.526,
2002-04,0.526,
2002-07,0.518,
2002-10,0.516,
2003-01,0.487,
2003-04,0.474,
2003-07,0.451,
2003-10,0.451,
2004-01,0.445,
2004-04,0.435,
2004-07,0.411,
2004-10,0.429,
2005-01,0.471,
2005-04,0.449,
2005-07,0.415,
2005-10,0.416,
2006-01,0.404,
2006-04,0.431,
2006-07,0.456,
2006-10,0.491,
2007-01,0.595,
2007-04,0.654,
2007-07,0.725,
2007-10,0.823,
2008-01,0.864,
2008-04,0.921,
2008-07,0.978,
2008-10,1.663,
2009-01,1.705,
2009-04,1.710,
2009-07,1.730,
2009-10,1.382,
2010-01,1.100,
2010-04,1.059,
2010-07,1.016,
2010-10,1.116,
2011-01,1.220,
2011-04,1.277,
2011-07,1.298,
2011-10,1.286,
2012-01,1.294,
2012-04,1.250,
2012-07,1.171,
2012-10,0.987,
2013-01,0.800,
2013-04,0.696,
2013-07,0.653,
2013-10,0.610,
2014-01,0.578,
2014-04,0.548,
2014-07,0.682,
