"",BBK01.OEAA55M,BBK01.OEAA55M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:00,
2002-01,9.349,
2002-04,8.061,
2002-07,8.135,
2002-10,8.307,
2003-01,8.175,
2003-04,9.206,
2003-07,9.351,
2003-10,8.905,
2004-01,9.005,
2004-04,8.953,
2004-07,9.028,
2004-10,8.744,
2005-01,8.878,
2005-04,9.487,
2005-07,9.636,
2005-10,9.845,
2006-01,9.791,
2006-04,10.032,
2006-07,9.852,
2006-10,10.990,
2007-01,11.387,
2007-04,11.997,
2007-07,11.669,
2007-10,11.340,
2008-01,11.469,
2008-04,11.925,
2008-07,13.000,
2008-10,13.594,
2009-01,14.052,
2009-04,13.651,
2009-07,13.192,
2009-10,13.386,
2010-01,13.994,
2010-04,14.457,
2010-07,13.229,
2010-10,13.489,
2011-01,13.083,
2011-04,13.169,
2011-07,13.992,
2011-10,14.478,
2012-01,14.749,
2012-04,15.310,
2012-07,15.182,
2012-10,15.369,
2013-01,15.586,
2013-04,15.155,
2013-07,14.622,
2013-10,14.406,
2014-01,14.481,
2014-04,14.750,
2014-07,15.271,
