"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.AT.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.AT.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:17,
2009-09,13375,
2009-10,13352,
2009-11,13321,
2009-12,13267,
2010-01,12628,
2010-02,12632,
2010-03,12723,
2010-04,12855,
2010-05,12977,
2010-06,13199,
2010-07,13221,
2010-08,13665,
2010-09,13698,
2010-10,13834,
2010-11,13846,
2010-12,13830,
2011-01,13417,
2011-02,13685,
2011-03,13384,
2011-04,13193,
2011-05,13333,
2011-06,13323,
2011-07,14013,
2011-08,14144,
2011-09,14384,
2011-10,14659,
2011-11,14294,
2011-12,14907,
2012-01,15452,
2012-02,16317,
2012-03,16486,
2012-04,16832,
2012-05,17492,
2012-06,17813,
2012-07,17958,
2012-08,17943,
2012-09,18103,
2012-10,18180,
2012-11,18329,
2012-12,18507,
2013-01,18230,
2013-02,18206,
2013-03,18301,
2013-04,19103,
2013-05,18960,
2013-06,18169,
2013-07,18448,
2013-08,18139,
2013-09,18287,
2013-10,18589,
2013-11,18989,
2013-12,18803,
2014-01,19310,
2014-02,18996,
2014-03,19145,
2014-04,19237,
2014-05,19910,
2014-06,20162,
2014-07,19950,
2014-08,20409,
2014-09,20162,
2014-10,19590,
2014-11,20105,
