"",BBK01.OEAH35R,BBK01.OEAH35R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:44,
2002-01,0.065,
2002-04,0.064,
2002-07,0.062,
2002-10,0.074,
2003-01,0.072,
2003-04,0.071,
2003-07,0.085,
2003-10,0.082,
2004-01,0.072,
2004-04,0.069,
2004-07,0.059,
2004-10,0.045,
2005-01,0.040,
2005-04,0.042,
2005-07,0.035,
2005-10,0.031,
2006-01,0.031,
2006-04,0.039,
2006-07,0.033,
2006-10,0.033,
2007-01,0.031,
2007-04,0.032,
2007-07,0.027,
2007-10,0.023,
2008-01,0.021,
2008-04,0.020,
2008-07,0.022,
2008-10,0.021,
2009-01,0.027,
2009-04,0.028,
2009-07,0.028,
2009-10,0.030,
2010-01,0.028,
2010-04,0.028,
2010-07,0.027,
2010-10,0.027,
2011-01,0.031,
2011-04,0.028,
2011-07,0.037,
2011-10,0.037,
2012-01,0.052,
2012-04,0.066,
2012-07,0.067,
2012-10,0.072,
2013-01,0.070,
2013-04,0.072,
2013-07,0.073,
2013-10,0.151,
2014-01,0.107,
2014-04,0.176,
2014-07,0.180,
