"",BBK01.OEAD03J,BBK01.OEAD03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:16,
2002-01,0.068,
2002-04,0.062,
2002-07,0.090,
2002-10,0.087,
2003-01,0.105,
2003-04,0.102,
2003-07,0.100,
2003-10,0.108,
2004-01,0.095,
2004-04,0.090,
2004-07,0.094,
2004-10,0.096,
2005-01,0.090,
2005-04,0.076,
2005-07,0.076,
2005-10,0.084,
2006-01,0.081,
2006-04,0.078,
2006-07,0.079,
2006-10,0.084,
2007-01,0.078,
2007-04,0.110,
2007-07,0.111,
2007-10,0.119,
2008-01,0.116,
2008-04,0.120,
2008-07,0.122,
2008-10,0.081,
2009-01,0.080,
2009-04,0.079,
2009-07,0.078,
2009-10,0.077,
2010-01,0.038,
2010-04,0.085,
2010-07,0.073,
2010-10,0.065,
2011-01,0.067,
2011-04,0.062,
2011-07,0.072,
2011-10,0.061,
2012-01,0.067,
2012-04,0.060,
2012-07,0.079,
2012-10,0.079,
2013-01,0.083,
2013-04,0.087,
2013-07,0.070,
2013-10,0.074,
2014-01,0.075,
2014-04,0.091,
2014-07,0.088,
