"",BBFN1.M.DE.N.1.A.CH.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1990-08,0.133,
1990-09,0.133,
1990-10,0.127,
1990-11,0.127,
1990-12,0.126,
1991-01,0.129,
1991-02,0.129,
1991-03,0.130,
1991-04,0.126,
1991-05,0.125,
1991-06,0.124,
1991-07,0.124,
1991-08,0.124,
1991-09,0.124,
1991-10,0.122,
1991-11,0.122,
1991-12,0.122,
1992-01,0.122,
1992-02,0.122,
1992-03,0.122,
1992-04,0.122,
1992-05,0.121,
1992-06,0.121,
1992-07,0.121,
1992-08,0.121,
1992-09,0.120,
1992-10,0.119,
1992-11,0.119,
1992-12,0.119,
1993-01,0.119,
1993-02,0.119,
1993-03,0.119,
1993-04,0.122,
1993-05,0.122,
1993-06,0.124,
1993-07,0.123,
1993-08,0.124,
1993-09,0.124,
1993-10,0.122,
1993-11,0.123,
1993-12,0.124,
1994-01,0.124,
1994-02,0.123,
1994-03,0.123,
1994-04,0.122,
1994-05,0.123,
1994-06,0.125,
1994-07,0.131,
1994-08,0.125,
1994-09,0.127,
1994-10,0.128,
1994-11,0.128,
1994-12,0.132,
1995-01,0.026,
1995-02,0.026,
1995-03,0.025,
1995-04,0.024,
1995-05,0.025,
1995-06,0.030,
1995-07,0.030,
1995-08,0.030,
1995-09,0.029,
1995-10,0.029,
1995-11,0.035,
1995-12,0.039,
1996-01,0.039,
1996-02,0.038,
1996-03,0.037,
1996-04,0.035,
1996-05,0.035,
1996-06,0.036,
1996-07,0.030,
1996-08,0.023,
1996-09,0.024,
1996-10,0.031,
1996-11,0.031,
1996-12,0.030,
1997-01,0.032,
1997-02,0.027,
1997-03,0.036,
1997-04,0.036,
1997-05,0.035,
1997-06,0.035,
1997-07,0.038,
1997-08,0.027,
1997-09,0.025,
1997-10,0.019,
1997-11,0.018,
1997-12,0.021,
1998-01,0.017,
1998-02,0.018,
1998-03,0.018,
1998-04,0.018,
1998-05,0.016,
1998-06,0.015,
1998-07,0.015,
1998-08,0.017,
1998-09,0.043,
1998-10,0.043,
1998-11,0.045,
1998-12,0.034,
1999-01,0.033,
1999-02,0.034,
1999-03,0.034,
1999-04,.,No value available
1999-05,.,No value available
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,.,No value available
1999-10,.,No value available
1999-11,.,No value available
1999-12,.,No value available
2000-01,.,No value available
2000-02,.,No value available
2000-03,.,No value available
2000-04,0.008,
2000-05,0.002,
2000-06,0.002,
2000-07,0.002,
2000-08,.,No value available
2000-09,0.002,
2000-10,.,No value available
2000-11,0.000,
2000-12,0.000,
2001-01,0.000,
2001-02,0.000,
2001-03,.,No value available
2001-04,.,No value available
2001-05,0.000,
2001-06,.,No value available
2001-07,.,No value available
2001-08,0.000,
2001-09,0.000,
2001-10,0.000,
2001-11,0.000,
2001-12,.,No value available
2002-01,.,No value available
2002-02,.,No value available
2002-03,.,No value available
2002-04,.,No value available
2002-05,.,No value available
2002-06,.,No value available
2002-07,.,No value available
2002-08,.,No value available
2002-09,.,No value available
2002-10,.,No value available
2002-11,.,No value available
2002-12,.,No value available
2003-01,.,No value available
2003-02,.,No value available
2003-03,0.036,
2003-04,0.038,
2003-05,0.035,
2003-06,0.034,
2003-07,0.037,
2003-08,0.036,
2003-09,0.035,
2003-10,0.037,
2003-11,0.043,
2003-12,0.037,
2004-01,0.036,
2004-02,0.035,
2004-03,0.036,
2004-04,0.035,
2004-05,0.035,
2004-06,0.036,
2004-07,0.036,
2004-08,0.037,
2004-09,0.032,
2004-10,0.031,
2004-11,0.030,
2004-12,0.029,
2005-01,0.028,
2005-02,0.027,
2005-03,0.026,
2005-04,0.023,
2005-05,0.023,
2005-06,0.023,
2005-07,0.029,
2005-08,0.031,
2005-09,0.037,
2005-10,0.035,
2005-11,0.030,
2005-12,0.030,
2006-01,0.045,
2006-02,0.032,
2006-03,0.026,
2006-04,0.028,
2006-05,0.031,
2006-06,0.024,
2006-07,0.024,
2006-08,0.024,
2006-09,0.025,
2006-10,0.024,
2006-11,0.024,
2006-12,0.103,
2007-01,0.102,
2007-02,0.035,
2007-03,0.035,
2007-04,0.027,
2007-05,0.027,
2007-06,0.027,
2007-07,0.025,
2007-08,0.025,
2007-09,0.025,
2007-10,0.025,
2007-11,0.022,
2007-12,0.041,
2008-01,0.044,
2008-02,0.040,
2008-03,0.039,
2008-04,0.038,
2008-05,0.038,
2008-06,0.032,
2008-07,0.031,
2008-08,0.027,
2008-09,0.028,
2008-10,0.035,
2008-11,0.034,
2008-12,0.033,
2009-01,0.139,
2009-02,0.140,
2009-03,0.135,
2009-04,0.135,
2009-05,0.136,
2009-06,0.125,
2009-07,0.125,
2009-08,0.124,
2009-09,0.124,
2009-10,0.122,
2009-11,0.122,
2009-12,0.123,
2010-01,0.124,
2010-02,0.150,
2010-03,0.147,
2010-04,0.147,
2010-05,0.148,
2010-06,0.148,
2010-07,0.148,
2010-08,0.148,
2010-09,0.147,
2010-10,0.147,
2010-11,0.144,
2010-12,0.144,
2011-01,0.163,
2011-02,0.193,
2011-03,0.193,
2011-04,0.193,
2011-05,0.193,
2011-06,0.202,
2011-07,0.203,
2011-08,0.183,
2011-09,0.183,
2011-10,0.183,
2011-11,0.179,
2011-12,0.179,
2012-01,0.130,
2012-02,.,No value available
2012-03,.,No value available
2012-04,.,No value available
2012-05,.,No value available
2012-06,.,No value available
2012-07,.,No value available
2012-08,0.305,
2012-09,0.305,
2012-10,0.305,
2012-11,0.329,
2012-12,0.328,
2013-01,0.328,
2013-02,0.328,
2013-03,0.328,
2013-04,0.305,
2013-05,0.305,
2013-06,0.305,
2013-07,0.345,
2013-08,0.345,
2013-09,0.305,
2013-10,0.305,
2013-11,0.305,
2013-12,0.357,
2014-01,0.477,
2014-02,0.492,
2014-03,0.441,
2014-04,0.461,
2014-05,0.461,
2014-06,0.461,
2014-07,0.461,
2014-08,0.561,
2014-09,0.560,
2014-10,0.642,
2014-11,0.652,
2014-12,0.643,
