"",BBK01.OEAJ04N,BBK01.OEAJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:19,
2002-01,18.647,
2002-04,19.109,
2002-07,19.940,
2002-10,22.874,
2003-01,21.226,
2003-04,21.172,
2003-07,18.381,
2003-10,21.832,
2004-01,19.139,
2004-04,19.976,
2004-07,21.515,
2004-10,22.249,
2005-01,20.001,
2005-04,22.660,
2005-07,23.282,
2005-10,25.833,
2006-01,23.448,
2006-04,24.155,
2006-07,27.243,
2006-10,29.749,
2007-01,29.561,
2007-04,29.901,
2007-07,34.179,
2007-10,40.337,
2008-01,37.789,
2008-04,38.199,
2008-07,45.187,
2008-10,49.252,
2009-01,46.259,
2009-04,39.808,
2009-07,46.376,
2009-10,41.244,
2010-01,41.181,
2010-04,47.741,
2010-07,45.693,
2010-10,51.540,
2011-01,45.850,
2011-04,45.970,
2011-07,48.848,
2011-10,50.872,
2012-01,43.889,
2012-04,50.370,
2012-07,45.948,
2012-10,37.397,
2013-01,35.698,
2013-04,32.797,
2013-07,24.570,
2013-10,24.478,
2014-01,24.331,
2014-04,23.888,
2014-07,22.784,
