"",BBK01.OEYB24J,BBK01.OEYB24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:56,
2002-01,0.781,
2002-04,0.781,
2002-07,1.435,
2002-10,1.409,
2003-01,1.281,
2003-04,1.247,
2003-07,1.253,
2003-10,1.231,
2004-01,1.255,
2004-04,1.235,
2004-07,1.190,
2004-10,1.153,
2005-01,1.153,
2005-04,1.154,
2005-07,1.131,
2005-10,1.091,
2006-01,1.136,
2006-04,1.100,
2006-07,1.154,
2006-10,1.254,
2007-01,1.193,
2007-04,1.070,
2007-07,0.921,
2007-10,0.977,
2008-01,1.001,
2008-04,0.936,
2008-07,0.912,
2008-10,0.864,
2009-01,0.863,
2009-04,0.912,
2009-07,0.892,
2009-10,0.874,
2010-01,0.873,
2010-04,0.945,
2010-07,0.910,
2010-10,0.883,
2011-01,0.876,
2011-04,0.876,
2011-07,0.809,
2011-10,0.784,
2012-01,0.785,
2012-04,0.171,
2012-07,0.043,
2012-10,0.027,
2013-01,0.025,
2013-04,0.025,
2013-07,0.025,
2013-10,0.025,
2014-01,0.023,
2014-04,0.023,
2014-07,0.023,
