"",BBK01.OELB09T,BBK01.OELB09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:32,
2002-01,0.451,
2002-04,0.464,
2002-07,0.467,
2002-10,0.449,
2003-01,0.476,
2003-04,0.480,
2003-07,0.480,
2003-10,0.482,
2004-01,0.490,
2004-04,0.519,
2004-07,0.532,
2004-10,0.545,
2005-01,0.549,
2005-04,0.550,
2005-07,0.560,
2005-10,0.558,
2006-01,0.570,
2006-04,0.577,
2006-07,0.591,
2006-10,0.569,
2007-01,0.583,
2007-04,0.604,
2007-07,0.607,
2007-10,0.597,
2008-01,0.598,
2008-04,0.613,
2008-07,0.618,
2008-10,0.634,
2009-01,0.647,
2009-04,0.679,
2009-07,0.710,
2009-10,0.727,
2010-01,0.740,
2010-04,0.768,
2010-07,0.784,
2010-10,0.791,
2011-01,0.814,
2011-04,0.848,
2011-07,0.859,
2011-10,0.834,
2012-01,0.862,
2012-04,0.870,
2012-07,0.878,
2012-10,0.874,
2013-01,0.932,
2013-04,0.933,
2013-07,0.951,
2013-10,0.967,
2014-01,0.975,
2014-04,1.007,
2014-07,0.968,
