"",BBK01.OEAD26U,BBK01.OEAD26U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:44,
2002-01,0.025,
2002-04,0.024,
2002-07,0.025,
2002-10,0.025,
2003-01,0.022,
2003-04,0.023,
2003-07,0.024,
2003-10,0.020,
2004-01,0.027,
2004-04,0.027,
2004-07,0.023,
2004-10,0.034,
2005-01,0.033,
2005-04,0.031,
2005-07,0.030,
2005-10,0.032,
2006-01,0.033,
2006-04,0.027,
2006-07,0.030,
2006-10,0.030,
2007-01,0.034,
2007-04,0.037,
2007-07,0.039,
2007-10,0.039,
2008-01,0.039,
2008-04,0.042,
2008-07,0.050,
2008-10,0.057,
2009-01,0.057,
2009-04,0.049,
2009-07,0.038,
2009-10,0.036,
2010-01,0.037,
2010-04,0.036,
2010-07,0.034,
2010-10,0.040,
2011-01,0.043,
2011-04,0.041,
2011-07,0.041,
2011-10,0.043,
2012-01,0.050,
2012-04,0.051,
2012-07,0.074,
2012-10,0.073,
2013-01,0.073,
2013-04,0.074,
2013-07,0.072,
2013-10,0.076,
2014-01,0.072,
2014-04,0.081,
2014-07,0.077,
