"",BBK01.OEXL04K,BBK01.OEXL04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:07,
2002-01,1.423,
2002-04,1.388,
2002-07,1.339,
2002-10,1.231,
2003-01,1.132,
2003-04,1.097,
2003-07,1.036,
2003-10,0.910,
2004-01,0.851,
2004-04,0.834,
2004-07,0.832,
2004-10,0.540,
2005-01,0.518,
2005-04,0.480,
2005-07,0.468,
2005-10,0.576,
2006-01,0.485,
2006-04,0.548,
2006-07,0.588,
2006-10,0.697,
2007-01,0.786,
2007-04,0.815,
2007-07,1.022,
2007-10,1.247,
2008-01,1.233,
2008-04,1.391,
2008-07,1.468,
2008-10,1.851,
2009-01,1.250,
2009-04,1.016,
2009-07,0.823,
2009-10,0.741,
2010-01,0.754,
2010-04,0.834,
2010-07,0.717,
2010-10,0.782,
2011-01,0.735,
2011-04,0.812,
2011-07,0.938,
2011-10,1.032,
2012-01,0.866,
2012-04,0.882,
2012-07,0.756,
2012-10,0.641,
2013-01,0.585,
2013-04,0.585,
2013-07,0.518,
2013-10,0.491,
2014-01,0.461,
2014-04,0.445,
2014-07,0.429,
