"",BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.1N1.ABA.A,BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.1N1.ABA.A_FLAGS
"","Employees subject to social security contributions / Germany / N 78.2, N 78.3 Hiring out of labour / Absolute value / Unadjusted figure",
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:03,
2007-01,562762,
2007-02,569050,
2007-03,583885,
2007-04,604948,
2007-05,629808,
2007-06,650971,
2007-07,675703,
2007-08,679242,
2007-09,677399,
2007-10,689626,
2007-11,686204,
2007-12,647209,
2008-01,640444,
2008-02,643760,
2008-03,654298,
2008-04,662832,
2008-05,678093,
2008-06,706609,
2008-07,719366,
2008-08,710193,
2008-09,714375,
2008-10,695864,
2008-11,659384,
2008-12,594992,
2009-01,556558,
2009-02,529042,
2009-03,509305,
2009-04,503416,
2009-05,503581,
2009-06,526566,
2009-07,546795,
2009-08,560712,
2009-09,573626,
2009-10,577782,
2009-11,586103,
2009-12,549612,
2010-01,545869,
2010-02,555426,
2010-03,591647,
2010-04,622397,
2010-05,660172,
2010-06,701663,
2010-07,727460,
2010-08,746664,
2010-09,761351,
2010-10,763448,
2010-11,774100,
2010-12,738528,
2011-01,726312,
2011-02,733221,
2011-03,753809,
2011-04,765913,
2011-05,793652,
2011-06,816279,
2011-07,826214,
2011-08,839523,
2011-09,841470,
2011-10,836618,
2011-11,832416,
2011-12,781843,
2012-01,755285,
2012-02,748937,
2012-03,755557,
2012-04,762633,
2012-05,778166,
2012-06,790154,
2012-07,804180,
2012-08,800574,
2012-09,787475,
2012-10,780481,
2012-11,766071,
2012-12,713874,
2013-01,697458,
2013-02,698211,
2013-03,698369,
2013-04,717660,
2013-05,733523,
2013-06,747141,
2013-07,772841,
2013-08,776009,
2013-09,786341,
2013-10,784732,
2013-11,779090,
2013-12,731048,
2014-01,726218,
2014-02,728486,
2014-03,741959,
2014-04,748624,
2014-05,750423,
2014-06,779303,
2014-07,800366,
2014-08,802092,
2014-09,812400,Estimated value
2014-10,809000,Estimated value
2014-11,800500,Estimated value
2014-12,755000,Estimated value
"",Source: Federal Employment Agency.,
