"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.FR.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.FR.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / France / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:19,
2009-09,20157,
2009-10,19478,
2009-11,22179,
2009-12,22326,
2010-01,23413,
2010-02,23838,
2010-03,23887,
2010-04,23964,
2010-05,25155,
2010-06,25756,
2010-07,26191,
2010-08,26903,
2010-09,27402,
2010-10,27706,
2010-11,27757,
2010-12,27431,
2011-01,27329,
2011-02,27714,
2011-03,28020,
2011-04,27950,
2011-05,28543,
2011-06,28440,
2011-07,29162,
2011-08,28635,
2011-09,28179,
2011-10,28050,
2011-11,27179,
2011-12,27614,
2012-01,29545,
2012-02,31376,
2012-03,32239,
2012-04,32232,
2012-05,32464,
2012-06,32672,
2012-07,33358,
2012-08,33928,
2012-09,34191,
2012-10,34350,
2012-11,34856,
2012-12,35238,
2013-01,34498,
2013-02,34451,
2013-03,34882,
2013-04,35558,
2013-05,35493,
2013-06,33998,
2013-07,34189,
2013-08,33936,
2013-09,33922,
2013-10,34161,
2013-11,34579,
2013-12,34084,
2014-01,34318,
2014-02,34351,
2014-03,35138,
2014-04,35456,
2014-05,36042,
2014-06,36029,
2014-07,36239,
2014-08,36532,
2014-09,36793,
2014-10,36604,
2014-11,36447,
