"",BBEX3.M.SZL.USD.CA.AB.A01,BBEX3.M.SZL.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Swaziland / USD 1 = SZL ... (selling),
unit,SZL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:16,
1989-01,2.3955,
1989-02,2.4940,
1989-03,2.5620,
1989-04,2.5563,
1989-05,2.7630,
1989-06,2.7870,
1989-07,2.6485,
1989-08,2.7710,
1989-09,2.7155,
1989-10,2.6325,
1989-11,2.6035,
1989-12,2.5425,
1990-01,2.5565,
1990-02,2.5523,
1990-03,2.6480,
1990-04,2.6585,
1990-05,2.6570,
1990-06,2.6585,
1990-07,2.6010,
1990-08,2.5605,
1990-09,2.5670,
1990-10,2.5415,
1990-11,2.5180,
1990-12,2.5615,
1991-01,2.5455,
1991-02,2.5625,
1991-03,2.7385,
1991-04,2.7965,
1991-05,2.8240,
1991-06,2.8865,
1991-07,2.8650,
1991-08,2.8750,
1991-09,2.8105,
1991-10,2.8295,
1991-11,2.8065,
1991-12,2.7450,
1992-01,2.8170,
1992-02,2.8610,
1992-03,2.8805,
1992-04,2.8760,
1992-05,2.8365,
1992-06,2.7737,
1992-07,2.7615,
1992-08,2.7515,
1992-09,2.8070,
1992-10,2.9575,
1992-11,3.0195,
1992-12,3.0565,
1993-01,3.0675,
1993-02,3.1380,
1993-03,3.1773,
1993-04,3.1625,comment
1993-05,3.1790,
1993-06,3.3268,
1993-07,3.3542,
1993-08,3.3745,
1993-09,3.4130,
1993-10,3.3592,
1993-11,3.3640,
1993-12,3.4000,
1994-01,3.4150,
1994-02,3.4740,comment
1994-03,3.4570,
1994-04,3.5290,
1994-05,3.6015,
1994-06,3.6540,
1994-07,3.6585,comment
1994-08,3.5865,
1994-09,3.5670,
1994-10,3.5035,
1994-11,3.5538,
1994-12,3.5455,
1995-01,3.5350,
1995-02,3.5985,comment
1995-03,3.5960,
1995-04,3.6175,comment
1995-05,3.6670,
1995-06,3.6550,
1995-07,3.6255,
1995-08,3.6565,
1995-09,3.6473,
1995-10,3.6483,
1995-11,3.6613,
1995-12,3.6465,
1996-01,3.6540,
1996-02,3.8360,
1996-03,3.9490,
1996-04,4.3500,
1996-05,4.3675,
1996-06,4.3320,
1996-07,4.5180,comment
1996-08,4.5110,
1996-09,4.5270,
1996-10,4.7710,
1996-11,4.5970,
1996-12,4.6810,
1997-01,4.5660,
1997-02,4.4720,
1997-03,4.4260,
1997-04,4.4435,
1997-05,4.4730,
1997-06,4.5275,
1997-07,4.6020,
1997-08,4.6940,
1997-09,4.6675,
1997-10,4.8255,
1997-11,4.8560,
1997-12,4.8645,
1998-01,4.9425,
1998-02,4.9500,
1998-03,5.0365,
1998-04,5.0580,
1998-05,5.1780,
1998-06,5.8950,
1998-07,6.1450,
1998-08,6.4350,
1998-09,5.8900,
1998-10,5.7150,
1998-11,5.7150,
1998-12,5.8725,
1999-01,6.0400,
1999-02,6.2000,
1999-03,6.2150,
1999-04,6.0600,
1999-05,6.2270,
1999-06,6.0350,
1999-07,6.1650,
1999-08,6.0900,
1999-09,6.0100,
1999-10,6.1505,
1999-11,6.1470,
1999-12,6.1585,
2000-01,6.3125,
2000-02,6.3400,
2000-03,6.5525,
2000-04,6.8150,
2000-05,6.9690,
2000-06,6.7875,
2000-07,6.9675,
2000-08,6.9800,
2000-09,7.2375,
2000-10,7.5810,
2000-11,7.7780,
2000-12,7.5737,
2001-01,7.7575,
2001-02,7.6830,
2001-03,8.0125,
2001-04,8.0130,
2001-05,7.9585,
2001-06,8.0690,
2001-07,8.2425,
2001-08,8.3849,
2001-09,9.0203,
2001-10,9.4616,
2001-11,10.2900,
2001-12,11.9000,
2002-01,11.4550,
2002-02,11.4488,
2002-03,11.4650,
2002-04,10.6237,
2002-05,9.7470,
2002-06,10.4878,
2002-07,10.1725,
2002-08,10.6312,
2002-09,10.5712,
2002-10,10.0860,
2002-11,9.2870,
2002-12,8.6610,
2003-01,8.5660,
2003-02,8.1100,
2003-03,7.9500,
2003-04,7.1018,
2003-05,8.0676,
2003-06,7.4407,
2003-07,7.4226,
2003-08,7.3700,
2003-09,7.0745,
2003-10,6.9450,
2003-11,6.4050,
2003-12,6.6200,
2004-01,7.0788,
2004-02,6.6801,
2004-03,6.3287,
2004-04,6.9100,
2004-05,6.5301,
2004-06,6.2885,
2004-07,6.2750,
2004-08,6.7100,
2004-09,6.4600,
2004-10,6.0847,
2004-11,5.8200,
2004-12,5.6650,
2005-01,5.9640,
2005-02,5.8125,
2005-03,6.2700,
2005-04,6.1000,
2005-05,6.6977,
2005-06,6.6726,
2005-07,6.6591,
2005-08,6.5250,
2005-09,6.3700,
2005-10,6.7460,
2005-11,6.5081,
2005-12,6.3430,
2006-01,6.1136,
2006-02,6.1978,
2006-03,6.1845,
2006-04,6.1980,
2006-05,6.7180,
2006-06,7.1720,
2006-07,6.8571,
2006-08,7.0765,
2006-09,7.6628,
2006-10,7.5980,
2006-11,7.1485,
2006-12,6.9905,
2007-01,7.3100,
2007-02,7.2820,
2007-03,7.2660,
2007-04,7.1292,
2007-05,7.1795,
2007-06,7.0953,
2007-07,7.1065,
2007-08,7.1175,
2007-09,6.8862,
2007-10,6.5670,
2007-11,6.8251,
2007-12,6.8085,
2008-01,7.3190,
2008-02,7.6283,
2008-03,8.1453,
2008-04,7.6326,
2008-05,7.5801,
2008-06,7.8800,
2008-07,7.3965,
2008-08,7.6875,
2008-09,8.3480,
2008-10,10.1373,
2008-11,10.0100,
2008-12,9.2900,
2009-01,10.1612,
2009-02,9.9606,
2009-03,9.6415,
2009-04,8.4596,
2009-05,8.0050,
2009-06,7.7350,
2009-07,7.8320,
2009-08,7.8097,
2009-09,7.3840,
2009-10,7.8020,
2009-11,7.3940,
2009-12,7.4240,
2010-01,7.6292,
2010-02,7.7901,
2010-03,7.4000,
2010-04,7.3715,
2010-05,7.6968,
2010-06,7.6975,
2010-07,7.3822,
2010-08,7.4213,
2010-09,7.0240,
2010-10,7.0728,
2010-11,7.1867,
2010-12,6.6219,
2011-01,7.2239,
2011-02,7.0346,
2011-03,6.8000,
2011-04,6.6466,
2011-05,6.8414,
2011-06,6.7630,
2011-07,6.8225,
2011-08,7.0663,
2011-09,8.0520,
2011-10,7.8526,
2011-11,8.4845,
2011-12,8.2046,
2012-01,7.8733,
2012-02,7.4925,
2012-03,7.7175,
2012-04,7.7656,
2012-05,8.5207,
2012-06,8.3343,
2012-07,8.2060,
2012-08,8.4598,
2012-09,8.2641,
2012-10,8.6565,
2012-11,8.8172,
2012-12,8.4928,
2013-01,9.0542,
2013-02,8.8311,
2013-03,9.2530,
2013-04,9.1460,
2013-05,10.2250,
2013-06,10.1060,
2013-07,9.8720,
2013-08,10.3414,
2013-09,10.1525,
2013-10,9.9522,
2013-11,10.2370,
2013-12,10.4648,
2014-01,11.2004,
2014-02,10.7670,
2014-03,10.6380,
2014-04,10.6190,
2014-05,10.4365,
2014-06,10.5877,
2014-07,10.6820,
2014-08,10.6430,
2014-09,11.2480,
2014-10,10.8865,
2014-11,11.0180,
2014-12,11.6140,
2015-01,11.6230,
"","Source: Central Bank of Swaziland, Mbabane",
"",Comment on 1993-04: Exchange rate as of 4 May 1993.,
"",Comment on 1994-02: Exchange rate as of 1 March 1994.,
"",Comment on 1994-07: Exchange rate as of 2 August 1994.,
"",Comment on 1995-02: Exchange rate as of 1 March 1995.,
"",Comment on 1995-04: Exchange rate as of 26 April 1995.,
"",Comment on 1996-07: Exchange rate as of 1 August 1996.,
