"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:25,
1991-01,16279.466,
1991-04,3137.932,
1991-07,5867.774,
1991-10,23139.953,
1992-01,7066.095,
1992-04,4917.321,
1992-07,44240.230,
1992-10,27271.697,
1993-01,33015.042,
1993-04,33506.371,
1993-07,24202.498,
1993-10,45637.626,
1994-01,-3258.715,
1994-04,-4972.325,
1994-07,14223.311,
1994-10,40621.562,
1995-01,17972.338,
1995-04,38547.379,
1995-07,17200.581,
1995-10,19455.967,
1996-01,20035.498,
1996-04,19415.075,
1996-07,6539.373,
1996-10,59640.750,
1997-01,64102.464,
1997-04,47660.339,
1997-07,33995.856,
1997-10,55065.368,
1998-01,94212.272,
1998-04,83063.117,
1998-07,28047.344,
1998-10,99338.568,
1999-01,112857.092,
1999-04,74125.676,
1999-07,69731.479,
1999-10,108736.417,
2000-01,166445.593,
2000-04,95885.307,
2000-07,103161.845,
2000-10,34019.409,
2001-01,157536.090,
2001-04,64516.629,
2001-07,56558.359,
2001-10,27108.480,
2002-01,54409.478,
2002-04,79944.524,
2002-07,93933.290,
2002-10,21028.867,
2003-01,122127.182,
2003-04,82715.538,
2003-07,3855.023,
2003-10,35076.367,
2004-01,90945.899,
2004-04,19967.934,
2004-07,105207.926,
2004-10,49191.573,
2005-01,166580.410,
2005-04,108105.922,
2005-07,69682.372,
2005-10,64624.300,
2006-01,186259.472,
2006-04,101337.507,
2006-07,81465.237,
2006-10,118478.354,
2007-01,179213.779,
2007-04,223377.266,
2007-07,154370.079,
2007-10,118623.297,
2008-01,220938.083,
2008-04,64375.424,
2008-07,75597.999,
2008-10,-147755.259,
2009-01,-40896.310,
2009-04,78416.679,
2009-07,-32618.816,
2009-10,30769.111,
2010-01,86695.630,
2010-04,120888.878,
2010-07,95115.904,
2010-10,115664.967,
2011-01,56289.429,
2011-04,83999.655,
2011-07,171441.482,
2011-10,-48645.485,
2012-01,259291.705,
2012-04,117304.274,
2012-07,27172.049,
2012-10,-15275.677,
2013-01,29857.751,
2013-04,62584.275,
2013-07,-17014.119,
2013-10,-36638.978,
2014-01,92512.795,
2014-04,109571.704,
2014-07,75312.861,
