"",BBDE1.M.DE.Y.GUD1.A2P340000.F.V.I10.A,BBDE1.M.DE.Y.GUD1.A2P340000.F.V.I10.A_FLAGS
"","Turnover from abroad, Euro-area countries / At current prices / Germany / Non-durable goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:57,
2003-01,74.8,
2003-02,72.1,
2003-03,72.1,
2003-04,73.8,
2003-05,68.1,
2003-06,71.5,
2003-07,72.6,
2003-08,70.8,
2003-09,73.0,
2003-10,72.7,
2003-11,70.9,
2003-12,72.8,
2004-01,73.5,
2004-02,75.1,
2004-03,76.9,
2004-04,76.5,
2004-05,76.9,
2004-06,78.8,
2004-07,79.0,
2004-08,77.6,
2004-09,77.3,
2004-10,78.1,
2004-11,79.7,
2004-12,81.4,
2005-01,81.3,
2005-02,82.5,
2005-03,82.4,
2005-04,79.8,
2005-05,82.6,
2005-06,81.5,
2005-07,83.6,
2005-08,84.1,
2005-09,83.2,
2005-10,83.4,
2005-11,85.0,
2005-12,84.6,
2006-01,84.8,
2006-02,86.3,
2006-03,85.8,
2006-04,87.4,
2006-05,87.8,
2006-06,89.4,
2006-07,88.9,
2006-08,92.4,
2006-09,92.6,
2006-10,91.8,
2006-11,91.5,
2006-12,88.3,
2007-01,95.5,
2007-02,98.3,
2007-03,95.1,
2007-04,93.9,
2007-05,96.6,
2007-06,94.8,
2007-07,94.6,
2007-08,96.9,
2007-09,97.7,
2007-10,97.8,
2007-11,99.1,
2007-12,98.5,
2008-01,98.9,
2008-02,99.8,
2008-03,97.7,
2008-04,98.6,
2008-05,98.2,
2008-06,97.5,
2008-07,99.9,
2008-08,102.9,
2008-09,102.3,
2008-10,102.2,
2008-11,100.3,
2008-12,110.6,
2009-01,99.5,
2009-02,97.4,
2009-03,97.1,
2009-04,101.0,
2009-05,98.7,
2009-06,98.4,
2009-07,95.8,
2009-08,95.6,
2009-09,95.3,
2009-10,97.2,
2009-11,98.7,
2009-12,100.8,
2010-01,98.1,
2010-02,95.9,
2010-03,99.0,
2010-04,97.9,
2010-05,97.2,
2010-06,99.6,
2010-07,101.5,
2010-08,103.7,
2010-09,102.1,
2010-10,99.9,
2010-11,100.9,
2010-12,98.0,
2011-01,103.9,
2011-02,107.4,
2011-03,106.4,
2011-04,109.0,
2011-05,107.3,
2011-06,109.0,
2011-07,107.9,
2011-08,106.5,
2011-09,104.8,
2011-10,108.7,
2011-11,108.4,
2011-12,109.2,
2012-01,106.5,
2012-02,108.2,
2012-03,109.8,
2012-04,107.4,
2012-05,114.1,
2012-06,111.6,
2012-07,111.3,
2012-08,110.5,
2012-09,112.0,
2012-10,114.1,
2012-11,114.7,
2012-12,119.6,
2013-01,112.8,
2013-02,112.9,
2013-03,107.9,
2013-04,113.3,
2013-05,119.3,
2013-06,112.6,
2013-07,112.9,
2013-08,113.8,
2013-09,110.7,
2013-10,114.8,
2013-11,119.2,
2013-12,122.8,
2014-01,115.7,
2014-02,115.0,
2014-03,116.8,
2014-04,117.2,
2014-05,116.0,
2014-06,114.6,
2014-07,116.6,
2014-08,117.3,
2014-09,118.1,
2014-10,114.8,
2014-11,117.0,
2014-12,117.4,Provisional value
