"",BBK01.OEAH03P,BBK01.OEAH03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:26,
2002-01,4.893,
2002-04,4.703,
2002-07,4.778,
2002-10,5.088,
2003-01,5.192,
2003-04,5.240,
2003-07,5.357,
2003-10,5.783,
2004-01,5.371,
2004-04,5.241,
2004-07,5.341,
2004-10,5.704,
2005-01,5.873,
2005-04,5.719,
2005-07,5.733,
2005-10,5.978,
2006-01,5.940,
2006-04,5.868,
2006-07,6.178,
2006-10,6.611,
2007-01,6.650,
2007-04,7.068,
2007-07,7.381,
2007-10,7.833,
2008-01,8.031,
2008-04,8.045,
2008-07,8.462,
2008-10,8.382,
2009-01,7.975,
2009-04,7.380,
2009-07,7.190,
2009-10,6.603,
2010-01,6.438,
2010-04,5.996,
2010-07,6.336,
2010-10,6.780,
2011-01,6.857,
2011-04,7.209,
2011-07,7.740,
2011-10,8.172,
2012-01,8.233,
2012-04,8.111,
2012-07,8.025,
2012-10,7.375,
2013-01,7.829,
2013-04,6.926,
2013-07,6.209,
2013-10,5.586,
2014-01,5.534,
2014-04,5.624,
2014-07,5.474,
