"",BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Consumer goods / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:27,
2008-01,14.41,
2008-02,14.00,
2008-03,13.87,
2008-04,13.92,
2008-05,13.55,
2008-06,14.63,
2008-07,14.55,
2008-08,14.88,
2008-09,14.32,
2008-10,14.63,
2008-11,13.75,
2008-12,13.70,
2009-01,12.56,
2009-02,12.50,
2009-03,12.21,
2009-04,12.47,
2009-05,11.62,
2009-06,11.39,
2009-07,12.65,
2009-08,11.64,
2009-09,11.93,
2009-10,11.84,
2009-11,12.33,
2009-12,12.34,
2010-01,12.33,
2010-02,12.49,
2010-03,13.13,
2010-04,12.68,
2010-05,13.25,
2010-06,13.06,
2010-07,13.41,
2010-08,13.36,
2010-09,13.29,
2010-10,13.34,
2010-11,13.01,
2010-12,13.79,
2011-01,13.33,
2011-02,13.80,
2011-03,14.23,
2011-04,14.12,
2011-05,13.98,
2011-06,14.30,
2011-07,13.82,
2011-08,14.32,
2011-09,14.43,
2011-10,14.05,
2011-11,14.59,
2011-12,14.02,
2012-01,14.54,
2012-02,14.41,
2012-03,14.39,
2012-04,14.14,
2012-05,15.24,
2012-06,14.74,
2012-07,15.17,
2012-08,15.13,
2012-09,15.21,
2012-10,15.26,
2012-11,14.90,
2012-12,14.86,
2013-01,15.54,
2013-02,15.26,
2013-03,15.09,
2013-04,15.57,
2013-05,15.23,
2013-06,15.15,
2013-07,15.42,
2013-08,15.16,
2013-09,15.54,
2013-10,15.87,
2013-11,15.70,
2013-12,15.38,
2014-01,16.53,
2014-02,16.09,
2014-03,15.75,
2014-04,16.29,
2014-05,16.22,
2014-06,16.06,
2014-07,16.59,
2014-08,16.90,
2014-09,16.53,
2014-10,16.44,
2014-11,16.70,
2014-12,17.29,
