"",BBK01.OECB16T,BBK01.OECB16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:06,
2002-01,0.600,
2002-04,0.589,
2002-07,0.585,
2002-10,0.570,
2003-01,0.555,
2003-04,0.548,
2003-07,0.513,
2003-10,0.495,
2004-01,0.490,
2004-04,0.480,
2004-07,0.472,
2004-10,0.518,
2005-01,0.528,
2005-04,0.516,
2005-07,0.504,
2005-10,0.491,
2006-01,0.483,
2006-04,0.480,
2006-07,0.484,
2006-10,0.467,
2007-01,0.461,
2007-04,0.459,
2007-07,0.454,
2007-10,0.442,
2008-01,0.436,
2008-04,0.429,
2008-07,0.425,
2008-10,0.414,
2009-01,0.405,
2009-04,0.507,
2009-07,0.497,
2009-10,0.491,
2010-01,0.487,
2010-04,0.482,
2010-07,0.560,
2010-10,0.504,
2011-01,0.514,
2011-04,0.507,
2011-07,0.505,
2011-10,0.501,
2012-01,0.487,
2012-04,0.475,
2012-07,0.474,
2012-10,0.481,
2013-01,0.479,
2013-04,0.470,
2013-07,0.467,
2013-10,0.434,
2014-01,0.424,
2014-04,0.423,
2014-07,0.437,
