"",BBK01.OEHB03P,BBK01.OEHB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:32,
2002-01,0.501,
2002-04,0.498,
2002-07,0.511,
2002-10,0.513,
2003-01,0.506,
2003-04,0.511,
2003-07,0.510,
2003-10,0.489,
2004-01,0.486,
2004-04,0.489,
2004-07,0.479,
2004-10,0.467,
2005-01,0.461,
2005-04,0.474,
2005-07,0.483,
2005-10,0.479,
2006-01,0.484,
2006-04,0.505,
2006-07,0.485,
2006-10,0.504,
2007-01,0.500,
2007-04,0.491,
2007-07,0.507,
2007-10,0.532,
2008-01,0.550,
2008-04,0.573,
2008-07,0.564,
2008-10,0.568,
2009-01,0.581,
2009-04,0.597,
2009-07,0.590,
2009-10,0.615,
2010-01,0.604,
2010-04,0.724,
2010-07,0.768,
2010-10,0.788,
2011-01,0.839,
2011-04,0.892,
2011-07,1.075,
2011-10,1.130,
2012-01,1.154,
2012-04,1.169,
2012-07,1.211,
2012-10,1.195,
2013-01,1.236,
2013-04,1.125,
2013-07,1.038,
2013-10,1.051,
2014-01,1.043,
2014-04,1.025,
2014-07,1.031,
